"text","id","purpose","name","instanceType","uuid:ID","label","description"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","","END1","Endpoint","76ea1486-7c49-4d47-885d-01350d64432a","",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","","END2","Endpoint","e0036ae4-577b-4224-8e28-19825023df46","",""
"Adverse events","Endpoint_3","","END3","Endpoint","3f4bd9f8-5b27-4431-954d-b4edf1bcab42","",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","","END4","Endpoint","ab40c9f7-87c7-41f2-a78b-1d737b76fb41","",""
"Laboratory evaluations (Change from Baseline)","Endpoint_5","","END5","Endpoint","cecd4770-34ae-44ac-b8c6-2100da2bd1ac","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","","END6","Endpoint","6ed1a2b8-8178-41a7-80a9-7379d9d402f0","",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","","END7","Endpoint","77aabf76-e7f4-4e88-866f-126721838bf8","",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","","END8","Endpoint","362d5dc9-dfdc-4e64-a353-0fed61a4f807","",""
"*** To be determined from protocol ***","Endpoint_9","","END9","Endpoint","ffea3b2c-18b0-41af-b0c9-d85077c6b936","",""
"*** To be determined from protocol ***","Endpoint_10","","END10","Endpoint","2641b1ea-6c13-4816-8b5d-b48722c12f27","",""
"*** To be determined from protocol ***","Endpoint_11","","END11","Endpoint","f8456e25-664c-4516-b743-3daf36787496","",""
