"id","name","instanceType","uuid:ID","label","description"
"ScheduledActivityInstance_9","SCREEN1","ScheduledActivityInstance","2fb277ba-6429-4ee0-88a5-12f2bcc62b4a","Screen One","-"
"ScheduledActivityInstance_10","SCREEN2","ScheduledActivityInstance","df7e1b42-8b51-4db9-8a86-3931bcef1380","Screen Two","-"
"ScheduledActivityInstance_11","DOSE","ScheduledActivityInstance","41795cb7-140a-4f04-80d3-abf73816d09e","Dose","-"
"ScheduledActivityInstance_12","WK2","ScheduledActivityInstance","abef19ac-4d3c-4261-ae6e-c512814042c7","Week 2","-"
"ScheduledActivityInstance_13","WK4","ScheduledActivityInstance","2b54e348-e037-4446-8f0e-5334c899707b","Week 4","-"
"ScheduledActivityInstance_14","WK6","ScheduledActivityInstance","405a1032-825a-4872-8e66-c38fd47963ef","Week 6","-"
"ScheduledActivityInstance_15","WK8","ScheduledActivityInstance","5d427162-4cfb-4185-84ea-9fe8346eb210","Week 8","-"
"ScheduledActivityInstance_16","WK8N","ScheduledActivityInstance","c63198b7-1df4-49f9-bb44-06880846c4a9","Week NPI","-"
"ScheduledActivityInstance_17","WK12","ScheduledActivityInstance","daadbd55-7599-4ee9-8e0b-db1d714cb230","Week 12","-"
"ScheduledActivityInstance_18","WK12N","ScheduledActivityInstance","2ee3fc83-b8a7-4d2f-9ca4-529723ce7814","Week 12 NPI","-"
"ScheduledActivityInstance_19","WK16","ScheduledActivityInstance","c1dba0aa-3e35-4562-9c4b-7121e1c05f2a","Week 16","-"
"ScheduledActivityInstance_20","WK16N","ScheduledActivityInstance","d66aa699-5c12-4363-877d-cdcc4e52a497","Week 16 NPI","-"
"ScheduledActivityInstance_21","WK20","ScheduledActivityInstance","c0945030-9ca0-4374-b1ec-c257fceca44e","Week 20","-"
"ScheduledActivityInstance_22","WK20N","ScheduledActivityInstance","59a677a6-8802-4c72-8f6b-c8f0694432ae","Week 20 NPI","-"
"ScheduledActivityInstance_23","WK24","ScheduledActivityInstance","b953ec0f-3a54-4367-beb2-e0412c42c487","Week 24","-"
"ScheduledActivityInstance_24","WK26","ScheduledActivityInstance","2bb1ca86-db43-4c01-b9b2-dc18c23254fe","Week 26","-"
"ScheduledActivityInstance_1","AE","ScheduledActivityInstance","a343a5b5-9d89-4da0-8ecf-210b2951cfff","Adevers Event","-"
"ScheduledActivityInstance_2","ET","ScheduledActivityInstance","7cdaf2ee-b92b-4195-93c2-fdfa1b90bb65","Early Termination","-"
"ScheduledActivityInstance_3","VS_5MIN","ScheduledActivityInstance","3000b891-eefd-4b56-82db-fe960a4db354","5 minute supine",""
"ScheduledActivityInstance_4","VS_SUPINE","ScheduledActivityInstance","c41e8f3b-9f81-43e0-aa25-2ca5237356a2","Vital signs supine",""
"ScheduledActivityInstance_5","VS_1MIN","ScheduledActivityInstance","c5ba0151-3c8e-4652-bd1e-ac46da236487","1 minute standing",""
"ScheduledActivityInstance_6","VS_STAND1","ScheduledActivityInstance","e21abade-4521-441e-80bb-e67260a56191","Vital signs after 1 min standing",""
"ScheduledActivityInstance_7","VS_2MIN","ScheduledActivityInstance","43586790-aaf2-48f8-8a01-0008b90514c9","2 minute standing",""
"ScheduledActivityInstance_8","VS_STAND3","ScheduledActivityInstance","44facee8-1cf1-4634-ba45-b144ee9d2d48","Vital signs after 3 min standing",""
