"id","name","instanceType","uuid:ID","label","description"
"Encounter_1","E1","Encounter","0540d539-2d6c-4c4a-bd79-0030a9ca278b","Screening 1","Screening encounter"
"Encounter_2","E2","Encounter","83ed0c31-e86e-476e-90f9-7ce9c7155d84","Screening 2","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","E3","Encounter","e840b57e-81e8-4be2-bd4f-e903afa2cfdc","Baseline","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","E4","Encounter","5aa2ed30-345c-4671-a87b-58ca9e30ba78","Week 2","Day 14"
"Encounter_5","E5","Encounter","61cbb26a-636b-4c14-9f05-343b8572dc2e","Week 4","Day 28"
"Encounter_6","E7","Encounter","bf70926f-9655-433c-b5e8-dab9cf748afc","Week 6","Day 42"
"Encounter_7","E8","Encounter","0023ef6b-a832-4fcf-aa22-9fc4e6317304","Week 8","Day 56"
"Encounter_8","E9","Encounter","4b0ca4df-cfb5-4f35-82c6-d4fab49efad9","Week 12","Day 84"
"Encounter_9","E10","Encounter","7a4224d7-655f-4a51-92b2-55e1fe7adedd","Week 16","Day 112"
"Encounter_10","E11","Encounter","ea3c3f87-cf20-477f-95d5-7696e2deccde","Week 20","Day 140"
"Encounter_11","E12","Encounter","867bcb1e-d43e-4587-b973-0026e674557e","Week 24","Day 168"
"Encounter_12","E13","Encounter","637da500-c2d5-46cb-b410-6b153a031824","Week 26","Day 182"
