"instanceType","description","name","id","label","uuid:ID"
"Activity","","Informed consent","Activity_1","Informed consent","eb4a7d72-e1e2-4e16-b346-4555782782f0"
"Activity","","Inclusion/exclusion criteria","Activity_2","Inclusion and exclusion criteria","4873b2a1-7242-435d-b52d-0e43143934b3"
"Activity","","Patient number assigned","Activity_3","Patient number assigned","324d8c98-98ce-41bd-9ee2-a76998f39c0e"
"Activity","","Demographics","Activity_4","Demographics","f51f3d1b-9df6-4d2d-b8c5-3430a35505fd"
"Activity","","Hachinski","Activity_5","Hachinski Ischemic Scale","cbc11d27-ad48-4c26-a5f7-5af964913ca2"
"Activity","","MMSE","Activity_6","MMSE","2c3b9d5d-ca91-43f2-87e4-a51fd536ef97"
"Activity","","Physical examination","Activity_7","Physical examination","fff8b4eb-532d-42ce-9f74-b57bc41b6e95"
"Activity","","Medical history","Activity_8","Medical history","a3333af6-df9f-47e2-b829-bf842554f184"
"Activity","","Habits","Activity_9","Habits","c805f282-1fe8-4673-b906-23b93c8a955c"
"Activity","","Chest X-ray","Activity_10","Chest X-ray","f3da5fc3-543c-41d8-a896-803b1fb20300"
"Activity","","Apo E genotyping","Activity_11","Apo E genotyping","adf06a9b-e497-42fd-94f4-aec37588283d"
"Activity","","Patient randomised","Activity_12","Patient randomised","3f92f258-c167-4cfe-a66b-47c3f13e5450"
"Activity","","Vital signs / Temperature","Activity_13","Vital Signs and Temperature","4f6c425c-aef3-4fd0-8602-28d712cec9f1"
"Activity","","Ambulatory ECG placed","Activity_14","Ambulatory ECG placed","f054979d-27b5-4807-8cc3-341672a33d20"
"Activity","","Ambulatory ECG removed","Activity_15","Ambulatory ECG removed","50cc66bc-4aec-4569-9315-cc8dc20c08b3"
"Activity","","ECG","Activity_16","ECG","15dbc286-c861-4489-91df-31631f0195f0"
"Activity","","Placebo TTS test","Activity_17","Placebo TTS test","afb44cd3-7e19-46dd-bdb8-0ced02d0a582"
"Activity","","CT scan","Activity_18","CT scan","55d5276f-1c4b-4023-9a06-19f26809a078"
"Activity","","Concomitant medications","Activity_19","Concomitant medications","882be3fc-56fc-4804-bae5-5df03023b7a5"
"Activity","","Hematology","Activity_20","Hematology","5bad1753-fc38-4f69-90e4-8cbbdf33c590"
"Activity","","Chemistry","Activity_21","Chemistry","ad3f116c-c492-41c5-b423-591790ca3e1e"
"Activity","","Uninalysis","Activity_22","Uninalysis","18d5264f-3f11-4b37-a5c2-82991bd5029d"
"Activity","","Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)","68e1a518-02d3-45fa-bace-89233c2bc070"
"Activity","","Hemoglobin A1C","Activity_24","Hemoglobin A1C","31824379-e1a5-4b84-9a3b-8f242e0b7929"
"Activity","","Study drug","Activity_25","Study drug record , Medications dispensed, Medications returned","1bbba066-f270-46b7-9dc8-224c80f3529e"
"Activity","","TTS Acceptability Survey","Activity_26","TTS Acceptability Survey","6c78e346-e055-4f03-a333-b1dc62a5e435"
"Activity","","ADAS-Cog","Activity_27","ADAS-Cog","7495de22-49a8-41cb-8ad0-170b0eb14739"
"Activity","","CIBIC+","Activity_28","CIBIC+","4733d24b-df95-4e2d-9dbb-68390a663bbd"
"Activity","","DAD","Activity_29","DAD","44aba619-86e7-4bea-ac90-0d5ffaeccd9a"
"Activity","","NPI-X","Activity_30","NPI-X","a7300dec-14b7-4802-81a1-5f1bdbdf5487"
"Activity","","Adverse events","Activity_31","Adverse events","d8b7bdc4-d716-489e-b29a-8746dfe99126"
"Activity","","Check adverse events","Activity_32","Check adverse events","e530ffa4-cb8c-4708-a382-1ac1fe882ca6"
"Activity","","Supine","Activity_33","Subject supine","01f929ed-2cad-46a2-9b3b-9c2ac65f11b3"
"Activity","","Vital Signs Supine","Activity_34","Vital signs while supine","d0c9dee3-ffc9-4376-bdaf-6b9f7216d98f"
"Activity","","Stand","Activity_35","Subject Standing","6b9f1eae-0533-4f58-ba17-7868791b0324"
"Activity","","Vital Signs Standing","Activity_36","Vital signs while standing","f0195c9f-6173-436f-9179-d17538bdc271"
