"windowUpper","windowLower","instanceType","description","windowLabel","valueLabel","name","id","value","label","uuid:ID"
"","","Timing","Screening timing","","2 weeks","TIM1","Timing_1","P2W","Screening","76966b79-3afe-4c9e-bd66-40800a5f7945"
"PT0H","PT4H","Timing","Pre dose timing","-4..0 hours","2 days","TIM2","Timing_2","P2D","Pre dose","2e470881-2add-41c6-a72e-050e48e331f4"
"","","Timing","Dosing anchor","","1 Day","TIM3","Timing_3","P1D","Dosing","10faa2a8-59b3-4728-9445-34dc385301a7"
"P3D","P3D","Timing","Week 2 timing","-3..3 days","2 Weeks","TIM4","Timing_4","P2W","Week 2","0be494ad-5310-4fd2-9cc1-d80e4f298641"
"P3D","P3D","Timing","Week 4 timing","-3..3 days","4 Weeks","TIM5","Timing_5","P4W","Week 4","a7842bb4-eaa6-48c9-a94f-11bb4c9a2669"
"P3D","P3D","Timing","Week 6 timing","-3..3 days","6 Weeks","TIM6","Timing_6","P6W","Week 6","14bcaefb-34a2-443c-816e-8e1a86640e03"
"P3D","P3D","Timing","Week 8 timing","-3..3 days","8 Weeks","TIM7","Timing_7","P8W","Week 8","e9d86470-822e-425c-beaa-f828182806ac"
"P4D","P4D","Timing","Week 12 timing","-4..4 days","12 Weeks","TIM9","Timing_9","P12W","Week 12","7392190a-6350-4ba2-b8d2-a3f7192dc455"
"P4D","P4D","Timing","Week 16 timing","-4..4 days","16 Weeks","TIM11","Timing_11","P16W","Week 16","ec5c32be-dcba-49c1-a29f-f3d97998f300"
"P4D","P4D","Timing","Week 20 timing","-4..4 days","20 Weeks","TIM13","Timing_13","P20W","Week 20","6df355ff-6ecf-4188-aea1-0acdd0a6aefb"
"P4D","P4D","Timing","Week 24 timing","-4..4 days","24 Weeks","TIM15","Timing_15","P24W","Week 24","99395b61-5ca2-4d2e-8b45-738517662e84"
"P3D","P3D","Timing","Week 26 timing","-3..3 days","26 Weeks","TIM16","Timing_16","P26W","Week 26","9a257c02-0b47-4f1c-b346-5894ce78cf78"
"","","Timing","Week 8 at home timing","","2 Weeks","TIM8","Timing_8","P2W","Week 8 Home","7a39dab3-4121-456c-ba52-07bc53721ebc"
"","","Timing","Week 12 at home timing","","2 Weeks","TIM10","Timing_10","P2W","Week 12 Home","914aef81-7ea6-40c9-a470-a518b6221e54"
"","","Timing","Week 16 at home timing","","2 Weeks","TIM12","Timing_12","P2W","Week 16 Home","3fd8c3f5-7a92-4803-877a-a718c0008a92"
"","","Timing","Week 20 at home timing","","2 Weeks","TIM14","Timing_14","P2W","Week 20 Home","e633ca22-745c-4267-9ea9-16eb201371ee"
"","","Timing","Adverse Event","","1 Day","TIM17","Timing_17","P1D","Adverse Event","9843a365-bc45-4808-80ef-8879af352002"
"","","Timing","Early Termination","","1 Day","TIM18","Timing_18","P1D","Early Termination","b75f63fc-d271-4fea-8a8e-9de46d4542f8"
"","","Timing","Supine","","0 mins","TIM19","Timing_19","PT0M","Supine","392e1bf4-76c9-4383-927e-3e89b9bdd314"
"","","Timing","VS while supine","","5 mins","TIM20","Timing_20","PT5M","VS while supine","93c6ebed-74d2-4223-8160-c2b36f9d44f3"
"","","Timing","Standing","","0 min","TIM21","Timing_21","PT0M","Standing","11a7a760-7121-4936-bdc2-822c57bf6fa7"
"","","Timing","VS while standing","","1 min","TIM22","Timing_22","PT1M","VS while standing","55455e67-cc0f-4555-91f1-4ea08aee6740"
"","","Timing","Standing","","0 min","TIM23","Timing_23","PT0M","Standing","6fab3441-0a47-4b07-ae11-854911fa3f40"
"","","Timing","VS while standing","","2 min","TIM24","Timing_24","PT2M","VS while standing","993cc8f8-6e63-40c1-9a1f-3da6c251c487"
