"reference","instanceType","synonyms","name","id","label","uuid:ID"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","","Sex","BiomedicalConcept_20","Sex","61006bcc-7e83-4412-8e15-2a64cb718cc7"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","['Racial Group']","Race","BiomedicalConcept_21","Race","4408c30b-4c4e-4e51-abd5-f17e9a15e62e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_22","Temperature","ad5ed44a-ea57-4c5f-a767-b306778e3955"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","['Weight', 'Body Weight']","Weight","BiomedicalConcept_23","Weight","c348e526-2fba-44fc-b410-54b728e6e408"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","['Height', 'Body Height']","Height","BiomedicalConcept_24","Height","54423e22-4b64-4e1e-b1c2-9cafbcdbd6cd"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","984a0324-91ad-4720-89ca-a093b7a9f34e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_26","Albumin Presence in Urine","b912a286-6ae5-42c3-8b74-26f994d75b98"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","5c31149a-fef4-46c8-be68-340457ee10ab"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","011ff663-1d75-4ca9-b9c1-50ad40e3270d"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_29","Creatinine Concentration in Urine","4175bf81-ec62-4b98-b83a-8785264478be"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_30","Potassium Concentration in Urine","a80b0a1c-c322-464c-ba56-55ee5d49dbcf"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_31","Sodium Concentration in Urine","ee2e688c-8bbf-4dfe-b6ba-dfde2e9f07ea"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","5b4a5e29-88bf-48da-be68-2cdbda5e732f"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","ee068ec1-9c5a-4e63-8a22-e872dd8a9502"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","1c5bfcdc-e369-4d7f-a99e-8707482d8981"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","dbe05a3a-1972-48fe-8403-a1bff99a9550"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_4","Temperature","9d6e54b3-e052-4ad6-ac5e-8e3a20bc376d"
