"text","instanceType","description","purpose","name","id","label","uuid:ID"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","","","END1","Endpoint_1","","9bba802c-ab8f-4783-96ec-1d6e27990813"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","","","END2","Endpoint_2","","e7c382db-104f-4e18-9f3b-735cbe7eb206"
"Adverse events","Endpoint","","","END3","Endpoint_3","","4334a566-c6ff-4d23-919f-142e4c40d85f"
"Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","","","END4","Endpoint_4","","9870e246-d6c2-426c-b8e7-c193bf4eff2e"
"Laboratory evaluations (Change from Baseline)","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","END5","Endpoint_5","","056085cf-ecfb-4951-aa07-9038f35b6738"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","","","END6","Endpoint_6","","d674b647-af31-4777-b130-c1e68de60928"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","","","END7","Endpoint_7","","abbb9ff1-e087-4cfb-88a5-d1b3cea95936"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","","","END8","Endpoint_8","","0dba98fb-3781-49e0-8d2d-2099a25031db"
"*** To be determined from protocol ***","Endpoint","","","END9","Endpoint_9","","0422c79d-2f48-4bf4-a0a1-8858903c2cbd"
"*** To be determined from protocol ***","Endpoint","","","END10","Endpoint_10","","6c67facd-a8e3-42d2-af49-cf977e703890"
"*** To be determined from protocol ***","Endpoint","","","END11","Endpoint_11","","0b45cc2f-b070-49c6-b4b2-0493fb795a53"
