"instanceType","description","name","id","label","uuid:ID"
"ScheduledActivityInstance","-","SCREEN1","ScheduledActivityInstance_9","Screen One","7038817c-31bf-46bb-b326-ea6864fe3274"
"ScheduledActivityInstance","-","SCREEN2","ScheduledActivityInstance_10","Screen Two","224fc256-aa2f-47d1-b649-5ee8c878d463"
"ScheduledActivityInstance","-","DOSE","ScheduledActivityInstance_11","Dose","32e1565b-2ee3-4e9a-b0c3-a6c9381b79a1"
"ScheduledActivityInstance","-","WK2","ScheduledActivityInstance_12","Week 2","192663d9-b1f1-494b-b81d-d018fb71b41e"
"ScheduledActivityInstance","-","WK4","ScheduledActivityInstance_13","Week 4","dc67495d-39a9-4b94-9a4a-324240a344e6"
"ScheduledActivityInstance","-","WK6","ScheduledActivityInstance_14","Week 6","94aa7d84-aa7e-4e29-bbbe-25ae2cd3b074"
"ScheduledActivityInstance","-","WK8","ScheduledActivityInstance_15","Week 8","deda14a9-3026-4504-b353-55581f1fee01"
"ScheduledActivityInstance","-","WK8N","ScheduledActivityInstance_16","Week NPI","4301c4fb-5a85-44b3-ac04-5719354d42d1"
"ScheduledActivityInstance","-","WK12","ScheduledActivityInstance_17","Week 12","1b15b97b-bde5-4bfa-9b3e-64b950bcfed0"
"ScheduledActivityInstance","-","WK12N","ScheduledActivityInstance_18","Week 12 NPI","2813f5a4-8132-4e50-9a90-218739718c8d"
"ScheduledActivityInstance","-","WK16","ScheduledActivityInstance_19","Week 16","d63a73c4-c5eb-48af-af1d-ea1aba7356b4"
"ScheduledActivityInstance","-","WK16N","ScheduledActivityInstance_20","Week 16 NPI","4051c226-004f-461e-9025-831e570acb0a"
"ScheduledActivityInstance","-","WK20","ScheduledActivityInstance_21","Week 20","262632ed-da8a-4f16-8ba4-3b0f9756fcfe"
"ScheduledActivityInstance","-","WK20N","ScheduledActivityInstance_22","Week 20 NPI","747830a5-e30b-4773-9e64-9131e4fb13b3"
"ScheduledActivityInstance","-","WK24","ScheduledActivityInstance_23","Week 24","9a33ae46-06c8-4b66-b757-e369b007d1fe"
"ScheduledActivityInstance","-","WK26","ScheduledActivityInstance_24","Week 26","1cccf873-d294-4cc3-b060-e92d4969139e"
"ScheduledActivityInstance","-","AE","ScheduledActivityInstance_1","Adevers Event","970f3333-a1b5-49b2-be24-476847965cdf"
"ScheduledActivityInstance","-","ET","ScheduledActivityInstance_2","Early Termination","10290bc2-5cc8-4925-8c82-094d6e04a2bb"
"ScheduledActivityInstance","","VS_5MIN","ScheduledActivityInstance_3","5 minute supine","61950601-3f9a-4b5d-afd1-9b11446b205b"
"ScheduledActivityInstance","","VS_SUPINE","ScheduledActivityInstance_4","Vital signs supine","3bf6b6a6-3b42-4d01-a069-b36a32cf9e0f"
"ScheduledActivityInstance","","VS_1MIN","ScheduledActivityInstance_5","1 minute standing","32bf4e51-3c25-46d8-9e2c-5740825b552a"
"ScheduledActivityInstance","","VS_STAND1","ScheduledActivityInstance_6","Vital signs after 1 min standing","fa33df17-9ffa-4859-8d5d-93f3e6520728"
"ScheduledActivityInstance","","VS_2MIN","ScheduledActivityInstance_7","2 minute standing","2baa0626-fdaa-4ce5-a15d-cb83a6607c28"
"ScheduledActivityInstance","","VS_STAND3","ScheduledActivityInstance_8","Vital signs after 3 min standing","c68cd537-1147-49d8-beb5-a9317e2d9f72"
