"text","instanceType","name","id","uuid:ID"
"Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","dbe8b264-ed74-4682-a5c7-39875a8f1fc5"
"completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","71d64e20-b7e6-4ee8-9a53-162aa900ca47"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","d165bd51-b38f-44dc-b014-f9f8efe37672"
"subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","ca6ac5d3-e8a2-412f-8910-9a79a6311ab7"
"Radomized","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","d6f80242-1dc8-4f55-8c00-2de248f1c052"
"End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","ae226d1d-722c-4d30-800a-c7d937a5ba74"
"Informed consent","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","0db541a1-1593-4deb-a1c8-732e93c977a0"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","550203f7-77cd-4abd-8071-c4a269e552fd"
"Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","e3aff870-d9e8-44e4-af79-5eab27af3946"
"End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","c2f2bcff-d797-46d5-a20d-80650dbc971b"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","8855781f-5fac-49b3-b8f1-834bbb558324"
"Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","d296af09-2dc9-41c9-8edb-acf4bdab1835"
"Randomized","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","3a0a1088-fcc1-4796-adf2-a662ccb26eb0"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","9fe6cd10-6c65-4025-b8a8-75a9649d4f17"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","e88396df-cb46-4e5f-909f-257d00cc8427"
