"instanceType","description","name","id","label","uuid:ID"
"Encounter","Screening encounter","E1","Encounter_1","Screening 1","1ee0a7bc-06cf-49e5-9418-ea379c995251"
"Encounter","Screening encounter - Ambulatory ECG Placement","E2","Encounter_2","Screening 2","e4a97554-bfe9-4a6c-ac49-1328344eff13"
"Encounter","Baseline encounter - Ambulatory ECG Removal","E3","Encounter_3","Baseline","608fdc13-9acd-423e-8b3a-992b279cc0bf"
"Encounter","Day 14","E4","Encounter_4","Week 2","ca6ff932-8a44-4d48-b7fd-5bb1fd39c320"
"Encounter","Day 28","E5","Encounter_5","Week 4","53262394-bfa8-4b3b-a238-00e79749cb3e"
"Encounter","Day 42","E7","Encounter_6","Week 6","bd9fc0ea-b27e-4569-a457-9dcc5df1cd5d"
"Encounter","Day 56","E8","Encounter_7","Week 8","9afde61f-32ce-4b64-9634-4307664b16c1"
"Encounter","Day 84","E9","Encounter_8","Week 12","06c2961f-51ad-4ab2-9247-594839b8db38"
"Encounter","Day 112","E10","Encounter_9","Week 16","215586b3-5cbe-46e2-bd1f-dcad8cc4ac84"
"Encounter","Day 140","E11","Encounter_10","Week 20","2b4aada0-8b46-4403-8545-9301b3f9ec08"
"Encounter","Day 168","E12","Encounter_11","Week 24","403f9d2a-afc1-418f-8baa-68292d7424fa"
"Encounter","Day 182","E13","Encounter_12","Week 26","fb1ccc58-ec39-4d3a-8351-30fd96bd1372"
