"id","name","uuid:ID","label","instanceType","synonyms","reference"
"BiomedicalConcept_20","Sex","79be0001-140f-4162-8825-10aba3ae88e4","Sex","BiomedicalConcept","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"BiomedicalConcept_21","Race","8617eb8d-bdfe-4da9-b919-f3f717c6b634","Race","BiomedicalConcept","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"BiomedicalConcept_22","Temperature","7c67a75d-b801-4723-8530-b5ab460018d3","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_23","Weight","4591712f-a49f-44f5-a1e0-b0187b8b4256","Weight","BiomedicalConcept","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_24","Height","0344fcc8-b3c9-43c4-add1-e8e96ed09505","Height","BiomedicalConcept","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","208daed8-4c53-4d29-b881-84a03110008b","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_26","Albumin Presence in Urine","2d7bd90b-b3cf-447d-806c-f946ad022d7f","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","1352fa2c-a3dd-4aff-9d13-61c53a4a971f","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","faff1f55-3f48-47ae-8910-330f793cf889","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_29","Creatinine Concentration in Urine","e41f2c68-0ba1-4ffc-b1f8-0b821f5ccccf","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_30","Potassium Concentration in Urine","a96c06ae-4f1b-42bc-8079-f61ecdf03045","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_31","Sodium Concentration in Urine","0bd3c7c2-3cf6-4bca-87f6-36ed046c5309","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","6e9c2ddd-f3b3-4daa-8536-910fdae86c19","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"BiomedicalConcept_1","Adverse Event Prespecified","6689947d-d72d-493a-b08e-123a589dd485","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"BiomedicalConcept_2","Systolic Blood Pressure","e062391f-4846-4dbb-aa51-25ad83fe0cd5","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_3","Diastolic Blood Pressure","1d5b22ff-7699-4685-b0d1-6dc12d2b9d5e","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_4","Temperature","a7319efe-d53b-453f-8576-28f56195ee48","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_5","Weight","20fe2555-4a1b-422d-af2c-7bd4762b7f67","Weight","BiomedicalConcept","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_6","Height","0f0da508-eb04-49ac-8d1f-df2be07039dd","Height","BiomedicalConcept","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","de85bc36-8557-407f-ab9e-afcc2691b839","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_8","Albumin Presence in Urine","e342c26b-f04e-4f48-924e-0fac73f5fae5","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","989ffeec-3c57-4e0c-82cf-955c8e49f131","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","21bc6649-f956-4483-9b6c-370467e92b7f","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_11","Creatinine Concentration in Urine","aa434c43-5c5e-4d0c-bbeb-dfbddecc8e04","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_12","Potassium Concentration in Urine","b8587278-8ab4-4e02-b412-2fa3b9cd2ad6","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_13","Sodium Concentration in Urine","61b50702-6366-490e-92fb-aad1b0facdfc","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_14","Systolic Blood Pressure","dff155c6-7fa4-46a3-b21d-eca33cbb8fbb","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_15","Diastolic Blood Pressure","fc8c427c-ab42-4576-9891-61ba10f2ff69","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_16","Heart Rate","60d4cf03-2c62-47e0-bbe9-53facffb5ff4","Heart Rate","BiomedicalConcept","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"BiomedicalConcept_17","Systolic Blood Pressure","ed5ec92a-be37-485f-881a-ef3ff8f357db","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_18","Diastolic Blood Pressure","4d0f5786-4345-4976-9da0-f116118bba67","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_19","Heart Rate","ad4bfdca-f5c3-4c16-b688-542907477866","Heart Rate","BiomedicalConcept","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
