"id","uuid:ID","instanceType","codeSystem","codeSystemVersion","decode","code"
"Code_1","6ad67496-ae75-4528-b98c-73dff3929ec7","Code","http://www.cdisc.org","2023-12-15","Interventional Study","C98388"
"Code_2","f38eb6fc-a9fd-4452-8387-f766eac80c79","Code","http://www.cdisc.org","2023-12-15","Phase II Trial","C15601"
"Code_9","9a655f00-6700-4a8e-bc5f-e2fe19765e1e","Code","http://www.cdisc.org","2023-12-15","Sponsor Approval Date","C132352"
"Code_10","be0f6fd3-8d18-40a9-9506-e3d42c7b1843","Code","http://www.cdisc.org","2023-12-15","Global","C68846"
"Code_72","e3ec61b6-6e85-49f1-967a-cccda9e2e966","Code","http://www.cdisc.org","2023-12-15","IRB/IEC Feedback","C99904x3"
"Code_73","04587422-04f5-4cdb-8bb7-91e594ea4f63","Code","http://www.cdisc.org","2023-12-15","Other","C17649"
"Code_75","e837aae7-d579-4721-9cc5-b1599141ef3e","Code","http://www.cdisc.org","2023-12-15","Region","C41129"
"Code_74","09338ecd-8c63-4207-ac5c-9ea0faae39b5","Code","ISO 3166 1 alpha3","2020-08","Europe","150"
"Code_4","5efbbd55-9e08-424c-8838-c50056ae59d6","Code","SPONSOR","12","Eli Lilly","PHARMA"
"Code_76","7625f059-7751-4908-8ddc-42ead2cd7586","Code","http://www.cdisc.org","2023-12-15","Clinical Study Sponsor","C70793"
"Code_77","ec9280e2-afcf-4b34-8633-87762164a131","Code","ISO 3166 1 alpha3","2020-08","United States of America","USA"
"Code_78","c412c84e-5621-4bfc-9e42-9b6fbe027912","Code","http://www.cdisc.org","2023-12-15","Study Registry","C93453"
"Code_79","38771d16-88b3-45fd-902b-61afcab181a7","Code","ISO 3166 1 alpha3","2020-08","United States of America","USA"
"Code_137","c48c8f04-a306-4ff5-a476-0c9b07017966","Code","http://www.cdisc.org","2023-12-15","Treatment Study","C49656"
"Code_138","f1f27556-25eb-4e71-9815-593c8ea973c5","Code","http://www.cdisc.org","2023-12-15","Efficacy Study","C49666"
"Code_139","177c4f70-9013-445b-acfe-911522a88c41","Code","http://www.cdisc.org","2023-12-15","Safety Study","C49667"
"Code_140","cea9d278-1139-452d-8b9b-2739fcfa0b25","Code","http://www.cdisc.org","2023-12-15","Pharmacokinetic Study","C49663"
"Code_134","2ee9e9e0-b6f4-4c49-a5b1-367a2e3501b0","Code","SPONSOR","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ"
"Code_135","eb2196fd-77e2-40f5-bd23-2e56de967b56","Code","SNOMED","January 31, 2018","Alzheimer's disease","26929004"
"Code_143","0128fe45-8a39-4820-ab18-f1655c239a61","Code","http://www.cdisc.org","2023-12-15","EXTENSION","C99907x1"
"Code_144","4afdc8c8-63df-480b-aba6-1a52974b6fe3","Code","http://www.cdisc.org","2023-12-15","ADAPTIVE","C98704"
"Code_141","208b1084-7b31-4eee-ad28-0af647af01fd","Code","http://www.cdisc.org","2023-12-15","Parallel Study","C82639"
"Code_83","5f9a68c3-55d3-4adc-9c6f-b8d30868e703","Code","http://www.cdisc.org","2023-12-15","Visit","C25716"
