"id","valueLabel","windowLabel","name","uuid:ID","label","windowLower","instanceType","value","description","windowUpper"
"Timing_1","2 weeks","","TIM1","b3889e93-fc3a-43f0-ad90-f2c3c405ae2d","Screening","","Timing","P2W","Screening timing",""
"Timing_2","2 days","-4..0 hours","TIM2","8dc16150-f26f-445f-b874-f2d58d063de3","Pre dose","PT4H","Timing","P2D","Pre dose timing","PT0H"
"Timing_3","1 Day","","TIM3","01445a08-ecbf-4d28-81f0-1fda7a9ddf9f","Dosing","","Timing","P1D","Dosing anchor",""
"Timing_4","2 Weeks","-3..3 days","TIM4","987074e9-cc41-4c70-a72e-1c446a1448cf","Week 2","P3D","Timing","P2W","Week 2 timing","P3D"
"Timing_5","4 Weeks","-3..3 days","TIM5","aaeeb463-b6f9-4b53-b850-4d9556c58b4a","Week 4","P3D","Timing","P4W","Week 4 timing","P3D"
"Timing_6","6 Weeks","-3..3 days","TIM6","f7a45a5a-3bb5-4a0f-9879-53afea1a7649","Week 6","P3D","Timing","P6W","Week 6 timing","P3D"
"Timing_7","8 Weeks","-3..3 days","TIM7","202e7a62-31b3-4bcd-8a51-4ebbdc674d71","Week 8","P3D","Timing","P8W","Week 8 timing","P3D"
"Timing_9","12 Weeks","-4..4 days","TIM9","184eb65b-02f1-4bab-976d-17742612af4c","Week 12","P4D","Timing","P12W","Week 12 timing","P4D"
"Timing_11","16 Weeks","-4..4 days","TIM11","07cd2405-6555-4e12-8c71-0323685eeeed","Week 16","P4D","Timing","P16W","Week 16 timing","P4D"
"Timing_13","20 Weeks","-4..4 days","TIM13","f1b726f3-33b4-4691-8295-763e705e0a17","Week 20","P4D","Timing","P20W","Week 20 timing","P4D"
"Timing_15","24 Weeks","-4..4 days","TIM15","912d307d-f6d0-4d3e-b8dc-258fa6822084","Week 24","P4D","Timing","P24W","Week 24 timing","P4D"
"Timing_16","26 Weeks","-3..3 days","TIM16","a757ae91-d1bc-4e92-a1b0-145718704f40","Week 26","P3D","Timing","P26W","Week 26 timing","P3D"
"Timing_8","2 Weeks","","TIM8","f992cb03-e346-456b-8a40-ad891194dec2","Week 8 Home","","Timing","P2W","Week 8 at home timing",""
"Timing_10","2 Weeks","","TIM10","4d8a6a71-550b-403e-949a-66310eb48293","Week 12 Home","","Timing","P2W","Week 12 at home timing",""
"Timing_12","2 Weeks","","TIM12","690deac8-54d7-4654-befa-4e6ef94dcae4","Week 16 Home","","Timing","P2W","Week 16 at home timing",""
"Timing_14","2 Weeks","","TIM14","03da7831-c784-4935-8172-6fc9d16049e0","Week 20 Home","","Timing","P2W","Week 20 at home timing",""
"Timing_17","1 Day","","TIM17","7258e345-99b5-4a80-aef8-4e45eed31f83","Adverse Event","","Timing","P1D","Adverse Event",""
"Timing_18","1 Day","","TIM18","a22bb5b5-8f65-4cba-be54-c005b72ddcac","Early Termination","","Timing","P1D","Early Termination",""
"Timing_19","0 mins","","TIM19","641b934e-a852-4bc1-96d4-ae64261bde57","Supine","","Timing","PT0M","Supine",""
"Timing_20","5 mins","","TIM20","f7213a1d-25f2-4bc3-a521-67dcde7c0532","VS while supine","","Timing","PT5M","VS while supine",""
"Timing_21","0 min","","TIM21","fa006691-0cb7-4634-9eac-b8c28e459040","Standing","","Timing","PT0M","Standing",""
"Timing_22","1 min","","TIM22","cbe83d06-98d9-4465-97ae-814cb9b80875","VS while standing","","Timing","PT1M","VS while standing",""
"Timing_23","0 min","","TIM23","a821780e-94ac-4291-bfa6-b1627f148880","Standing","","Timing","PT0M","Standing",""
"Timing_24","2 min","","TIM24","3e574b65-67ee-43cf-817a-27c02d2aa8b9","VS while standing","","Timing","PT2M","VS while standing",""
