"id","name","uuid:ID","label","instanceType","description"
"Encounter_1","E1","52d3938f-4f5b-44cc-bbe6-e2627ccc7539","Screening 1","Encounter","Screening encounter"
"Encounter_2","E2","f9c06bc5-1cd7-4e7f-8aec-32bf1eea5126","Screening 2","Encounter","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","E3","e3ce9058-8fc1-4c35-a550-d48cbd8d75a3","Baseline","Encounter","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","E4","fec7f6a7-a099-4c3f-b96a-131e61fa4d6c","Week 2","Encounter","Day 14"
"Encounter_5","E5","dbe91fd3-0510-4852-b761-6b7958d14315","Week 4","Encounter","Day 28"
"Encounter_6","E7","a527dbad-2c07-4c22-8d6b-d02e3b31e216","Week 6","Encounter","Day 42"
"Encounter_7","E8","117344fe-7e4b-483f-9ff9-adebd4c269ff","Week 8","Encounter","Day 56"
"Encounter_8","E9","7f3e238f-6320-4129-a8aa-97e637b3ab7e","Week 12","Encounter","Day 84"
"Encounter_9","E10","a41dfc3c-ac0e-456a-a3fe-59c6ac0d963d","Week 16","Encounter","Day 112"
"Encounter_10","E11","bd92941a-47a0-4ac0-940c-4a241d775bcb","Week 20","Encounter","Day 140"
"Encounter_11","E12","38e5d485-2436-4809-95c3-643543b06f77","Week 24","Encounter","Day 168"
"Encounter_12","E13","098cf355-6591-4443-b669-11c2fced8b35","Week 26","Encounter","Day 182"
