"id","name","uuid:ID","label","instanceType","description"
"ScheduledActivityInstance_9","SCREEN1","66c570aa-85fc-4948-a3d5-76f5d6360afc","Screen One","ScheduledActivityInstance","-"
"ScheduledActivityInstance_10","SCREEN2","b1efde80-7656-40ae-bbf5-bf288fb2404a","Screen Two","ScheduledActivityInstance","-"
"ScheduledActivityInstance_11","DOSE","dee80984-8802-4328-a1cd-60797f714353","Dose","ScheduledActivityInstance","-"
"ScheduledActivityInstance_12","WK2","cb554c7f-5bd4-4ce3-a5db-5ddd3d786e77","Week 2","ScheduledActivityInstance","-"
"ScheduledActivityInstance_13","WK4","eda298a9-c5e9-4d41-a666-c86073fffc98","Week 4","ScheduledActivityInstance","-"
"ScheduledActivityInstance_14","WK6","8838919b-f0d4-4216-9a5f-82d652663a72","Week 6","ScheduledActivityInstance","-"
"ScheduledActivityInstance_15","WK8","6036640f-2b53-43d2-bc1e-1d14d5ce2b18","Week 8","ScheduledActivityInstance","-"
"ScheduledActivityInstance_16","WK8N","2a2304e3-0a80-4b1d-9a05-f694d26b91ba","Week NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_17","WK12","e75c4f89-67ee-40ab-96f0-345ae170e1c4","Week 12","ScheduledActivityInstance","-"
"ScheduledActivityInstance_18","WK12N","aca1d2a6-d0d3-497f-87a4-09bfe5783fd1","Week 12 NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_19","WK16","102ac54d-78f2-4f6b-8725-280f56515b25","Week 16","ScheduledActivityInstance","-"
"ScheduledActivityInstance_20","WK16N","5e02ea07-196a-4759-b997-f435f1d37ee0","Week 16 NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_21","WK20","8e313f63-166e-44b5-85bd-1b9c908c3406","Week 20","ScheduledActivityInstance","-"
"ScheduledActivityInstance_22","WK20N","4f5dc694-3719-4332-99c0-65e4d3595657","Week 20 NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_23","WK24","c8ac2e95-4ece-44f4-a8c6-16e024b6d1d4","Week 24","ScheduledActivityInstance","-"
"ScheduledActivityInstance_24","WK26","a47e7eb0-8558-49e4-b7db-a67ab80d2a57","Week 26","ScheduledActivityInstance","-"
"ScheduledActivityInstance_1","AE","175428e3-6a31-4fed-874f-0e5a5ed1b2cf","Adevers Event","ScheduledActivityInstance","-"
"ScheduledActivityInstance_2","ET","db356322-6f9e-4526-a208-74862f835870","Early Termination","ScheduledActivityInstance","-"
"ScheduledActivityInstance_3","VS_5MIN","34249dc6-9c7b-46f2-9f00-7062f3a28392","5 minute supine","ScheduledActivityInstance",""
"ScheduledActivityInstance_4","VS_SUPINE","688f8d13-0769-4243-82de-1b6e081e499f","Vital signs supine","ScheduledActivityInstance",""
"ScheduledActivityInstance_5","VS_1MIN","66597af0-b57c-4002-99ba-cbfeb1c5215e","1 minute standing","ScheduledActivityInstance",""
"ScheduledActivityInstance_6","VS_STAND1","663ed6a8-56b3-404e-a75c-6a35a3ac8450","Vital signs after 1 min standing","ScheduledActivityInstance",""
"ScheduledActivityInstance_7","VS_2MIN","4b9b2681-c04c-4059-bd4b-4ec7c13d3f1a","2 minute standing","ScheduledActivityInstance",""
"ScheduledActivityInstance_8","VS_STAND3","e3874b32-332a-479b-966d-f228878e7f85","Vital signs after 3 min standing","ScheduledActivityInstance",""
