"id","name","uuid:ID","instanceType","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","ad2eb3c0-a03c-402e-bc76-c4331b8b42e3","TransitionRule","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","9f2e1f59-0c49-4833-b1e5-acca6809f45d","TransitionRule","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","7aad9b27-4352-46e5-9fbd-cf24544086f8","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","51eac7c1-59a4-4b80-8366-7e019e3fa383","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","d451af66-bdcb-466c-bcbd-cfe440f7be25","TransitionRule","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","1130127e-4583-43dc-bcef-5b3114378156","TransitionRule","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","5800ce20-4dd9-49ca-bd3b-06f42e5946a0","TransitionRule","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","79cd9435-3ee1-43b1-b29f-36fdade56eab","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","a54141c3-62cd-4c51-b3cc-d1a5749de003","TransitionRule","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","6f94f563-280d-4d8c-9946-33980910d713","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","c6646ef4-72d0-4c0b-a2f9-c61c347cd274","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","08e526d0-2ef7-41e8-a573-2b5e49cae38c","TransitionRule","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","b79ebbbc-5306-4349-9d7c-84b7bd59ee12","TransitionRule","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","6b13ca8e-763f-4cde-812b-ae7522969b0f","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","afbcca60-137a-484c-9b3a-a26cc4b74942","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
