"id","name","uuid:ID","label","instanceType","text","description","purpose"
"Endpoint_1","END1","6e0b1770-4ac1-4da5-8689-30cfe775d447","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","",""
"Endpoint_2","END2","7dac6b79-bddb-4900-b0dd-e31640c14f44","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","",""
"Endpoint_3","END3","bfe83e14-fde5-45ef-aabb-75eb1ea4ac76","","Endpoint","Adverse events","",""
"Endpoint_4","END4","f8d799fb-bed3-4c8d-b0df-4ee79c3aee45","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","",""
"Endpoint_5","END5","8384e382-5e5d-44e1-bf50-43771a2ac608","","Endpoint","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation",""
"Endpoint_6","END6","3f5fc0b3-7941-4159-a69e-d609d710227f","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","",""
"Endpoint_7","END7","9a8db8fe-4fef-4869-9ce0-c9292cf9a52b","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","",""
"Endpoint_8","END8","2e087274-d722-40ae-9272-497ee4d2cf74","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","",""
"Endpoint_9","END9","7dab5bce-609c-4f4e-b268-1e5bdc338cd3","","Endpoint","*** To be determined from protocol ***","",""
"Endpoint_10","END10","923ff8f3-5184-4a38-bd52-8297c22c0ba3","","Endpoint","*** To be determined from protocol ***","",""
"Endpoint_11","END11","0bae1e46-791c-4618-97f7-9d43489b251b","","Endpoint","*** To be determined from protocol ***","",""
