"id","name","uuid:ID","label","instanceType","description"
"Activity_1","Informed consent","ebc06856-ac8b-4354-b668-b8f54c99b60d","Informed consent","Activity",""
"Activity_2","Inclusion/exclusion criteria","0edb611b-9063-417d-91a3-7cea2f14cfe5","Inclusion and exclusion criteria","Activity",""
"Activity_3","Patient number assigned","cd3f128f-3d5d-4833-be77-38f943d0796c","Patient number assigned","Activity",""
"Activity_4","Demographics","de73ad39-50fa-46dd-942d-a65766b664c3","Demographics","Activity",""
"Activity_5","Hachinski","0f38a578-6769-476e-a8e3-a51191058967","Hachinski Ischemic Scale","Activity",""
"Activity_6","MMSE","10ed6592-5925-437b-a78d-41f8da9cb926","MMSE","Activity",""
"Activity_7","Physical examination","073845ea-73ba-4dc5-9006-c69c3cfb5356","Physical examination","Activity",""
"Activity_8","Medical history","803716f0-8d88-4087-9cf4-52aabb63be50","Medical history","Activity",""
"Activity_9","Habits","9dc88392-3acd-4d2a-8827-d5bc4cba74cc","Habits","Activity",""
"Activity_10","Chest X-ray","89117eb2-cb14-4fe7-9a78-5e62bc85f51f","Chest X-ray","Activity",""
"Activity_11","Apo E genotyping","b85b2812-6e5a-494d-9c37-c8fdceedba06","Apo E genotyping","Activity",""
"Activity_12","Patient randomised","a45ad8fb-cbb2-47c2-ab37-919dbb20b173","Patient randomised","Activity",""
"Activity_13","Vital signs / Temperature","fa68ca6c-a828-4368-9197-e67c17c19c73","Vital Signs and Temperature","Activity",""
"Activity_14","Ambulatory ECG placed","f85dffe6-6c5a-4ec1-9056-8c09a8a1c511","Ambulatory ECG placed","Activity",""
"Activity_15","Ambulatory ECG removed","6f06e41b-3529-43bc-a26b-2fd925230c01","Ambulatory ECG removed","Activity",""
"Activity_16","ECG","5ef442c0-8174-423d-b349-e17af7a9181f","ECG","Activity",""
"Activity_17","Placebo TTS test","0ee03c68-7e1c-4042-9ed9-561a934c08cc","Placebo TTS test","Activity",""
"Activity_18","CT scan","9fc7a925-c61b-4517-b265-bf05f2217728","CT scan","Activity",""
"Activity_19","Concomitant medications","023e457b-67fa-4d6f-91d5-bf0165b112db","Concomitant medications","Activity",""
"Activity_20","Hematology","de8d462b-e3f5-435f-846e-ad9fe8bdac07","Hematology","Activity",""
"Activity_21","Chemistry","66ba6301-fbab-4854-8c0c-c9995c401f09","Chemistry","Activity",""
"Activity_22","Uninalysis","39ac2778-605c-4aa9-bb85-814c0f1f0ec3","Uninalysis","Activity",""
"Activity_23","Plasma Specimen (Xanomeline)","7940e339-cd7f-42bf-bb0e-83a7a71b5fe9","Plasma Specimen (Xanomeline)","Activity",""
"Activity_24","Hemoglobin A1C","c938b45c-314d-45ee-9914-8d4a3c6d6f81","Hemoglobin A1C","Activity",""
"Activity_25","Study drug","74dac112-3297-479d-8b8e-a60d8bbd07d9","Study drug record , Medications dispensed, Medications returned","Activity",""
"Activity_26","TTS Acceptability Survey","d3fe0e4a-0459-494b-8705-fb91d4ccf42f","TTS Acceptability Survey","Activity",""
"Activity_27","ADAS-Cog","afe74a5c-1524-4b33-bfee-b73b41bfb023","ADAS-Cog","Activity",""
"Activity_28","CIBIC+","d374b632-6731-40bd-b621-d47dd22d7f13","CIBIC+","Activity",""
"Activity_29","DAD","664ea804-2c57-4385-9e67-586f357aea47","DAD","Activity",""
"Activity_30","NPI-X","7d5f96fc-4198-48e9-9c4d-ae84a7d6ef96","NPI-X","Activity",""
"Activity_31","Adverse events","3a0875e3-2962-4acb-9176-bd98bdc75534","Adverse events","Activity",""
"Activity_32","Check adverse events","151465b6-5e88-4370-99fd-35bd492107a7","Check adverse events","Activity",""
"Activity_33","Supine","a9e3da20-5030-46ab-9a77-0a0b71738376","Subject supine","Activity",""
"Activity_34","Vital Signs Supine","f18b168e-7e45-4360-92d9-c637ad15a605","Vital signs while supine","Activity",""
"Activity_35","Stand","df3a3eff-6e30-4516-88aa-db3f046e0106","Subject Standing","Activity",""
"Activity_36","Vital Signs Standing","05bd1927-0424-4e05-938b-61e0bc1341de","Vital signs while standing","Activity",""
