"identifier","id","name","uuid:ID","label","instanceType","text","description"
"01","EligibilityCriterion_1","IN01","0cb882b5-34ba-48b6-a8c5-6e53b030070c","Age greater than 50","EligibilityCriterion","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>",""
"02","EligibilityCriterion_2","IN02","f587866d-9917-4138-a188-d96c53b8d02f","Diagnosis of Alzheimer's","EligibilityCriterion","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>",""
"03","EligibilityCriterion_3","IN03","99721e84-660b-45b5-a67d-c9e5e0431062","MMSE Score","EligibilityCriterion","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>",""
"04","EligibilityCriterion_4","IN04","024fae2d-ac95-496c-bd70-ac86d2fe02a0","Hachinski Ischemic Score","EligibilityCriterion","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>",""
"05","EligibilityCriterion_5","IN05","d6ee0af1-9dfc-4cb2-a0bd-5f2738b3bb69","CNS imaging comptaible with Alzheimer's","EligibilityCriterion","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol style=""list-style-type: lower-alpha;"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>",""
"06","EligibilityCriterion_6","IN06","ddb24ae7-fbc4-45e4-879e-cf9b49670cd7","Informed consent criteria","EligibilityCriterion","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>",""
"07","EligibilityCriterion_7","IN07","c8deb9b5-ccd7-42c1-858a-12323dd745e2","Geographic proximity criteria","EligibilityCriterion","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>",""
"08","EligibilityCriterion_8","IN08","419c0ab5-9bf4-478a-a51e-83165ad9e1e0","Reliable caregiver criteria","EligibilityCriterion","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>",""
"09","EligibilityCriterion_9","EX01","fbb75658-c08d-4f54-ad18-5822e2de5ef4","Previous study criteria","EligibilityCriterion","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>",""
"10","EligibilityCriterion_10","EX02","8b4640e0-9fed-41b9-8346-7f9dc6d055ed","Other Alzheimer's therapy criteria","EligibilityCriterion","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>",""
