"isRequired","uuid:ID","isEnabled","id","label","name","instanceType","datatype"
"True","1edfd266-059a-4b20-8947-5e3b41bce302","True","BiomedicalConceptProperty_89","Sex","Sex","BiomedicalConceptProperty","string"
"True","913c62c9-881e-4561-b731-59a4e9901536","True","BiomedicalConceptProperty_90","Race","Race","BiomedicalConceptProperty","string"
"True","5ea36a0b-76dd-498a-ab27-ba6edede5b9c","True","BiomedicalConceptProperty_91","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","decimal"
"True","03d9ce2c-ebf8-4ffa-bdf8-70442f5c6294","True","BiomedicalConceptProperty_92","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty","string"
"True","dc714d68-ba7b-4ae7-916f-c369891388cb","True","BiomedicalConceptProperty_93","Anatomic Site","Anatomic Site","BiomedicalConceptProperty","string"
"True","5deef375-f64c-4ccf-9308-60fe241ef471","True","BiomedicalConceptProperty_94","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","decimal"
"True","08f2d04b-d0dc-408e-a501-9e56dafe2733","True","BiomedicalConceptProperty_95","Unit of Weight","Unit of Weight","BiomedicalConceptProperty","string"
"True","43230c59-1a72-42b3-be32-67e8bfcecea7","True","BiomedicalConceptProperty_96","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","decimal"
"True","80e68f83-60eb-4db5-9f23-96fcb21f3ea9","True","BiomedicalConceptProperty_97","Unit of Height","Unit of Height","BiomedicalConceptProperty","string"
"True","785628e3-295e-47af-ba05-b907d6216ad1","True","BiomedicalConceptProperty_98","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal"
"True","824699e5-26a1-46b6-b82b-360c5ea47bf7","True","BiomedicalConceptProperty_99","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","56b3e8ff-421e-4640-a661-bcf557d90401","True","BiomedicalConceptProperty_100","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","string"
"True","1e6df17a-31ac-47a1-a3b5-06039619eb0e","True","BiomedicalConceptProperty_101","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","6774e713-344f-44cb-a675-def0c7a83f1d","True","BiomedicalConceptProperty_102","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","string"
"True","fbe95384-4a40-410a-98e0-a4ba7f6c79cf","True","BiomedicalConceptProperty_103","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","4286df16-6d2f-4ce2-86ef-19e06ae39977","True","BiomedicalConceptProperty_104","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty","string"
"True","6c2c7cc6-2a4c-4452-81b6-d97bba94c706","True","BiomedicalConceptProperty_105","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","ec4502e2-9ae2-458f-bd2d-37c82c6b76c3","True","BiomedicalConceptProperty_106","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal"
"True","bd5baea9-fe9e-47d0-b5bf-12de514adee5","True","BiomedicalConceptProperty_107","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","0a45254a-c2d5-44a4-86ed-4ff95dec9a8b","True","BiomedicalConceptProperty_108","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","string"
"True","58bf557b-e5fc-4baf-a3de-47e7d5b3d136","True","BiomedicalConceptProperty_109","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","c91b7c6b-aead-4567-bbaa-d6db238d3f9a","True","BiomedicalConceptProperty_110","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal"
"True","66f00f65-f2e5-456b-9789-086c35c238d2","True","BiomedicalConceptProperty_111","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","2ab25265-9de0-4613-a7ba-3ed83b9477e8","True","BiomedicalConceptProperty_112","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","string"
"True","aa5882c0-cfbc-4736-be0b-239e9bc2bd04","True","BiomedicalConceptProperty_113","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","ff6dadb6-d0e9-43fc-910a-b9be0738018c","True","BiomedicalConceptProperty_114","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","string"
"True","12b361e6-b8ab-4055-860e-f4ca04143c1c","True","BiomedicalConceptProperty_115","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","e65cf16b-d936-490b-981b-ac22bc6356b3","True","BiomedicalConceptProperty_116","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty","string"
"True","723027d1-ae5e-456b-a895-f879532c5b1d","True","BiomedicalConceptProperty_117","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","1457253d-06e0-4dc6-b125-1a1e519d39d8","True","BiomedicalConceptProperty_118","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal"
"True","18ebbf0f-7cc4-477e-af64-b758b5a00f5f","True","BiomedicalConceptProperty_119","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","d1ec4d48-f451-4102-9b62-bfdea647e24f","True","BiomedicalConceptProperty_120","Molarity Unit","Molarity Unit","BiomedicalConceptProperty","string"
"True","60f3acb6-d394-4148-bd9c-01e08f69878a","True","BiomedicalConceptProperty_121","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","1c0a35dd-3f63-4e40-aac2-dbf00f561625","True","BiomedicalConceptProperty_122","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal"
"True","781872f5-694a-42f8-aed9-d92357ab3d72","True","BiomedicalConceptProperty_123","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean"
"True","64293fb9-e090-4086-8601-dfef97d8bc3c","True","BiomedicalConceptProperty_124","Molarity Unit","Molarity Unit","BiomedicalConceptProperty","string"
"True","cd18be4e-fce8-451c-afff-eb3cda95548b","True","BiomedicalConceptProperty_125","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string"
"True","446581d8-aa96-4b43-9c15-5f8e03bb8ca5","True","BiomedicalConceptProperty_1","Reported Event Term","Reported Event Term","BiomedicalConceptProperty","string"
"True","72f4f613-f100-4704-9e8a-4a3b538186e7","True","BiomedicalConceptProperty_2","Dictionary-derived Term","Dictionary-derived Term","BiomedicalConceptProperty","string"
