"uuid:ID","id","codeSystemVersion","instanceType","code","decode","codeSystem"
"1ef631ac-6489-47ab-b60f-9721483aa1b4","Code_1","2023-09-29","Code","C98388","Interventional Study","http://www.cdisc.org"
"9de2d290-7396-4c6a-aff6-aced71e81354","Code_2","2023-09-29","Code","C15601","Phase II Trial","http://www.cdisc.org"
"6a60b702-666e-4ea9-ba2e-f63d9acd69ed","Code_9","2023-09-29","Code","C132352","Sponsor Approval Date","http://www.cdisc.org"
"ab6f8732-3185-479a-8bce-44eca847ef9f","Code_10","2023-09-29","Code","C68846","Global","http://www.cdisc.org"
"d45644e3-f65f-40ef-8d31-4fbbda78030b","Code_72","2023-09-29","Code","C99904x3","IRB/IEC Feedback","http://www.cdisc.org"
"13889d78-f51d-4b21-b030-6df4d91d0447","Code_73","2023-09-29","Code","C17649","Other","http://www.cdisc.org"
"6cfeea24-799a-40e4-b668-dcf0efc979ab","Code_75","2023-09-29","Code","C41129","Region","http://www.cdisc.org"
"90e228e3-e38e-4c1d-b35c-1b69d9ca2ed9","Code_74","2020-08","Code","150","Europe","ISO 3166 1 alpha3"
"beccbb3e-0c2d-47fe-973e-37fa78606480","Code_4","12","Code","PHARMA","Eli Lilly","SPONSOR"
"3d7cd7ac-425b-4dcd-b8fd-9eeb79210120","Code_76","2023-09-29","Code","C70793","Clinical Study Sponsor","http://www.cdisc.org"
"088717de-87e6-4342-8117-4a394064d27e","Code_77","2020-08","Code","USA","United States of America","ISO 3166 1 alpha3"
"3c84f485-6da4-4eef-8c32-8fd7da18a4f0","Code_78","2023-09-29","Code","C93453","Study Registry","http://www.cdisc.org"
"38666bcf-71bb-4a67-975e-d74cd0ef7548","Code_79","2020-08","Code","USA","United States of America","ISO 3166 1 alpha3"
"91e7f12b-1140-4803-a3a8-2aa5a76220e1","Code_137","2023-09-29","Code","C49656","Treatment Study","http://www.cdisc.org"
