"windowLower","uuid:ID","window","id","label","name","value","instanceType","windowUpper","description"
"","96b4c5d1-b87f-435a-8a37-c42ab64e14f4","","Timing_1","Screening","TIM1","P2W","Timing","","Screening timing"
"PT4H","45f9389d-38b7-4736-a453-5e537db50691","-4..0 hours","Timing_2","Pre dose","TIM2","P2D","Timing","PT0H","Pre dose timing"
"","6b67607c-7c54-49f0-b85a-452e5f2a5b9b","","Timing_3","Dosing","TIM3","P1D","Timing","","Dosing anchor"
"P3D","9cab4c9e-eab4-4ea9-b3ea-1fad0a0774f8","-3..3 days","Timing_4","Week 2","TIM4","P2W","Timing","P3D","Week 2 timing"
"P3D","148abfdc-8e6a-4275-b17f-80895979b473","-3..3 days","Timing_5","Week 4","TIM5","P4W","Timing","P3D","Week 4 timing"
"P3D","39092fd3-2d60-42c0-b060-e6a323033cb1","-3..3 days","Timing_6","Week 6","TIM6","P6W","Timing","P3D","Week 6 timing"
"P3D","94fa4b4f-1f18-4c68-8051-584477df0d39","-3..3 days","Timing_7","Week 8","TIM7","P8W","Timing","P3D","Week 8 timing"
"P4D","8837b14d-bc10-4bf0-acef-18ce65adb79a","-4..4 days","Timing_9","Week 12","TIM9","P12W","Timing","P4D","Week 12 timing"
"P4D","8e8e74df-531e-4f1c-a23f-f270056f2161","-4..4 days","Timing_11","Week 16","TIM11","P16W","Timing","P4D","Week 16 timing"
"P4D","504f877a-5565-41db-9987-6e20354848f7","-4..4 days","Timing_13","Week 20","TIM13","P20W","Timing","P4D","Week 20 timing"
"P4D","0323af23-6e7b-42a7-90a2-adc35952ff30","-4..4 days","Timing_15","Week 24","TIM15","P24W","Timing","P4D","Week 24 timing"
"P3D","a87bfe7b-64f0-448b-b8c6-8d2383d98a20","-3..3 days","Timing_16","Week 26","TIM16","P26W","Timing","P3D","Week 26 timing"
"","2688da60-fd18-4e9d-9467-f197731b96f0","","Timing_8","Week 8 Home","TIM8","P2W","Timing","","Week 8 at home timing"
"","f10bc26f-2b51-427d-ad08-a6c3e98c64a4","","Timing_10","Week 12 Home","TIM10","P2W","Timing","","Week 12 at home timing"
"","11dd1345-3be2-4f8f-88f1-303798d53fda","","Timing_12","Week 16 Home","TIM12","P2W","Timing","","Week 16 at home timing"
"","2b89bf26-f668-48d3-a8a0-8a590d5a6bfa","","Timing_14","Week 20 Home","TIM14","P2W","Timing","","Week 20 at home timing"
"","9f6c971c-a4e1-40a0-b619-846beaa51f61","","Timing_17","Adverse Event","TIM17","P1D","Timing","","Adverse Event"
"","81e5354d-a6fd-473c-ae2d-b08159a3d611","","Timing_18","Early Termination","TIM18","P1D","Timing","","Early Termination"
"","e2eb06ea-4938-4db0-8bb1-6666d10300c9","","Timing_19","Supine","TIM19","PT0M","Timing","","Supine"
"","e1dde85b-642e-416d-a2a3-1fb90a22d33a","","Timing_20","VS while supine","TIM20","PT5M","Timing","","VS while supine"
"","2921631b-2504-4e03-bb21-d9c48684ee54","","Timing_21","Standing","TIM21","PT0M","Timing","","Standing"
"","1828791d-f6a4-44a4-bfba-f8e136878d4f","","Timing_22","VS while standing","TIM22","PT1M","Timing","","VS while standing"
"","c0faac19-ff9e-4fcc-8a74-bf27dc1d091a","","Timing_23","Standing","TIM23","PT0M","Timing","","Standing"
"","a317f446-377d-4afd-8166-50523427fdb2","","Timing_24","VS while standing","TIM24","PT2M","Timing","","VS while standing"
