"uuid:ID","text","id","name","instanceType"
"95e65d08-5c35-4ef5-ade2-08908e915d54","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule"
"eb7c3267-d79c-4e8b-bbf7-0e55a08eeca8","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule"
"0450be61-9f3b-41d1-ba49-aad511e4b8fa","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule"
"3eb0a594-b82e-46ce-92f8-b69944efbe69","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule"
"07d1974b-4ec4-46fc-bec2-2858a3e6aadc","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule"
"0ce646b8-3c29-4e6a-a0bb-4644e2dcc6ca","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule"
"e1bf79ef-29cd-4c70-9afe-8c93b5904b71","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule"
"2b2489f8-92e5-4f53-94a8-744a4d6c4962","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule"
"c929c024-4250-4cfb-919b-9a7dda6fddb5","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule"
"8425f2d9-1431-4eb0-88f8-5d4234dda965","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule"
"3df3e4d6-1752-4b9c-af71-3a0dd68cd215","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule"
"467c9a20-9b48-406d-a4b7-20bf2cbe5e44","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule"
"f935d17b-5e17-4db7-bda4-8d42ca109403","Randomized","TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule"
"80545ce1-a9ca-4960-a102-d67b62455255","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule"
"fa1f944a-9428-4707-a7a0-571121416594","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule"
