"uuid:ID","id","label","name","instanceType","description"
"57688130-e354-4875-9595-3c3665ad4bc2","Encounter_1","Screening 1","E1","Encounter","Screening encounter"
"05c5e77b-1bd9-4518-94b7-fd3ea8da8aa3","Encounter_2","Screening 2","E2","Encounter","Screening encounter - Ambulatory ECG Placement"
"09523de6-2d02-463b-956d-c86657958d41","Encounter_3","Baseline","E3","Encounter","Baseline encounter - Ambulatory ECG Removal"
"41c07a17-c6f7-41b0-908d-97ccff1b8a18","Encounter_4","Week 2","E4","Encounter","Day 14"
"27c9f785-b81e-40d5-ae66-627fc043c185","Encounter_5","Week 4","E5","Encounter","Day 28"
"5862198c-18dd-408c-9b55-a222ff757a12","Encounter_6","Week 6","E7","Encounter","Day 42"
"aba5cc4d-b5d7-482a-b609-f55b2e749c34","Encounter_7","Week 8","E8","Encounter","Day 56"
"bb5d58d6-a483-4807-8cb2-49c46d92d67d","Encounter_8","Week 12","E9","Encounter","Day 84"
"dbb81b0a-dc8e-463b-96b2-965dd28e5ade","Encounter_9","Week 16","E10","Encounter","Day 112"
"8532264e-d34c-433c-9831-3210bf5aaa45","Encounter_10","Week 20","E11","Encounter","Day 140"
"fadc63dd-44ac-4743-a2c1-020c06507777","Encounter_11","Week 24","E12","Encounter","Day 168"
"6dbf7f03-4683-4bfe-b345-f7258394745c","Encounter_12","Week 26","E13","Encounter","Day 182"
