"uuid:ID","id","label","name","instanceType","description"
"92d5edeb-8b8f-4ccf-a4b2-d6c43e45adce","Activity_1","Informed consent","Informed consent","Activity",""
"e741649c-1dfb-4714-919a-4f2d455a7b42","Activity_2","Inclusion and exclusion criteria","Inclusion/exclusion criteria","Activity",""
"471183c2-b0a0-4281-9002-8419e8c6af22","Activity_3","Patient number assigned","Patient number assigned","Activity",""
"eaea7e55-f0a2-4597-b838-44edb5b4a2b2","Activity_4","Demographics","Demographics","Activity",""
"8d47e525-9647-4cf8-a3ad-47aaf3c6ebb2","Activity_5","Hachinski Ischemic Scale","Hachinski","Activity",""
"796f1edd-9179-4642-9e9d-15a7105d4197","Activity_6","MMSE","MMSE","Activity",""
"45f30e6f-6747-4576-a6fa-7192d6f0424e","Activity_7","Physical examination","Physical examination","Activity",""
"b3931516-cfb8-4310-a989-61a33426df65","Activity_8","Medical history","Medical history","Activity",""
"a02c5924-8ad4-4a16-8d6d-94660985e4a7","Activity_9","Habits","Habits","Activity",""
"248a4992-f1ac-4ac7-b2be-53d774c8190b","Activity_10","Chest X-ray","Chest X-ray","Activity",""
"aa8b7ce6-ecf0-4319-a6ba-ad1f15405615","Activity_11","Apo E genotyping","Apo E genotyping","Activity",""
"0eb050c7-ca62-4a0a-bec7-b6691aa6af83","Activity_12","Patient randomised","Patient randomised","Activity",""
"48f445dd-e34d-4d1a-a428-863a144b018d","Activity_13","Vital Signs and Temperature","Vital signs / Temperature","Activity",""
"431b2a82-a85c-4daa-a273-d401753c9679","Activity_14","Ambulatory ECG placed","Ambulatory ECG placed","Activity",""
"1d9b2490-d316-4852-b47e-e64572f16140","Activity_15","Ambulatory ECG removed","Ambulatory ECG removed","Activity",""
"583a9219-ff61-4456-b093-6dc9d088451e","Activity_16","ECG","ECG","Activity",""
"8db5d1a3-23d1-4d06-a623-236c4c63a84e","Activity_17","Placebo TTS test","Placebo TTS test","Activity",""
"f68ce8d1-d250-42fc-8b06-0ccd63525109","Activity_18","CT scan","CT scan","Activity",""
"9ca6ff68-c39c-4a8e-a339-0b279121b1b8","Activity_19","Concomitant medications","Concomitant medications","Activity",""
"e8ce0b7f-9c17-4463-a85c-6679fcbdaf2d","Activity_20","Hematology","Hematology","Activity",""
"417d1e54-5243-4a60-a977-5dcbf86d8ef1","Activity_21","Chemistry","Chemistry","Activity",""
"f40e4ec5-d292-4588-b6f6-6623a91da4e1","Activity_22","Uninalysis","Uninalysis","Activity",""
"70c1ce60-cf81-44d1-af64-a2eda8c54b98","Activity_23","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity",""
"d8d834c4-1d0e-43f2-b870-243cb4d9b8ea","Activity_24","Hemoglobin A1C","Hemoglobin A1C","Activity",""
"148b761a-df98-4a5b-a4ab-b3d03d782de5","Activity_25","Study drug record , Medications dispensed, Medications returned","Study drug","Activity",""
"14de67f2-d288-4d3b-aa88-a07bf5e1789c","Activity_26","TTS Acceptability Survey","TTS Acceptability Survey","Activity",""
"e3202812-1c46-4b0e-b6dc-17f11259d354","Activity_27","ADAS-Cog","ADAS-Cog","Activity",""
"384f04ee-f17e-4d0b-9ba0-66a2cb2bde12","Activity_28","CIBIC+","CIBIC+","Activity",""
"fc0d0951-562f-40df-ba12-d98b9c849f86","Activity_29","DAD","DAD","Activity",""
"d5fc7f12-fa41-4c4f-b617-3e6d5f387b3a","Activity_30","NPI-X","NPI-X","Activity",""
"67897022-6ed5-4a90-a0ca-47a2059bd070","Activity_31","Adverse events","Adverse events","Activity",""
"d0f91eed-e573-45a1-b45e-12c66ced8e8c","Activity_32","Check adverse events","Check adverse events","Activity",""
"86662a24-291d-4428-8c87-9e72cb1d72e5","Activity_33","Subject supine","Supine","Activity",""
"dfccc628-99db-4dd2-906d-6e37d6440459","Activity_34","Vital signs while supine","Vital Signs Supine","Activity",""
"f3731838-e800-4c6e-a0af-259ee0ee3af7","Activity_35","Subject Standing","Stand","Activity",""
"e56827c6-14cf-4878-88b9-0f28d19c7eba","Activity_36","Vital signs while standing","Vital Signs Standing","Activity",""
