"uuid:ID","text","id","label","name","purpose","instanceType","description"
"7a6b7bab-f354-42ad-91be-d264119c5790","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","","END1","","Endpoint",""
"f1013d6b-37b6-497e-876a-dec01a60f240","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","","END2","","Endpoint",""
"717cfeaf-bca1-4877-bf91-0e8b067cc8ba","Adverse events","Endpoint_3","","END3","","Endpoint",""
"b6dd091d-18ef-43b5-90e7-a93dac9b4e8a","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","","END4","","Endpoint",""
"91b65fb2-2b59-4ed3-8e21-b97f738a135b","Laboratory evaluations (Change from Baseline)","Endpoint_5","","END5","","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"5b367b76-72ed-4595-8d63-20c42a0724b9","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","","END6","","Endpoint",""
"871892fa-3e06-4cae-966b-91903b593ddb","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","","END7","","Endpoint",""
"1dbb8ace-5e19-4426-afb5-8a6bd6a0048b","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","","END8","","Endpoint",""
"dcc58b56-6b2e-4555-8a8f-a04be274d8a2","*** To be determined from protocol ***","Endpoint_9","","END9","","Endpoint",""
"5757ded4-728e-497e-b611-48122b29a1fc","*** To be determined from protocol ***","Endpoint_10","","END10","","Endpoint",""
"6e07bc87-fee0-405c-ad64-1a3e89c46fc3","*** To be determined from protocol ***","Endpoint_11","","END11","","Endpoint",""
