"uuid:ID","id","label","name","synonyms","instanceType","reference"
"22c01b3d-99e8-4d7f-ac5d-23e1fa9ef9fb","BiomedicalConcept_20","Sex","Sex","","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"395ced31-ca90-4272-86fb-6d00ca7839f4","BiomedicalConcept_21","Race","Race","['Racial Group']","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"ac4fb240-01da-46d6-a2ef-c3a70d97d651","BiomedicalConcept_22","Body Temperature","Body Temperature","['Temperature']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446"
"9af46e47-b27f-47db-bc75-1dd31c567831","BiomedicalConcept_23","Body Weight","Body Weight","['Weight']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328"
"c471b048-33e8-40b2-bfbf-5ccd297504c8","BiomedicalConcept_24","Body Height","Body Height","['Height']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634"
"7086f7c4-769a-457a-a4ec-ef685fbfe04c","BiomedicalConcept_25","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"41fe80c7-ba9a-4bdb-9eef-4ec5add4b98b","BiomedicalConcept_26","Albumin Measurement","Albumin Measurement","['Albumin']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"29ab3098-8845-45d1-b2e9-668763aa1623","BiomedicalConcept_27","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"c9642d47-7643-43f3-bd0b-4fd59fab111b","BiomedicalConcept_28","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"2cead59a-2649-4262-9292-2c726056da99","BiomedicalConcept_29","Creatinine Measurement","Creatinine Measurement","['Creatinine']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"fff065e4-9266-41a5-b2b0-986b5746ba1a","BiomedicalConcept_30","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"1053e852-b8f9-495b-bb0a-a1a71fad0995","BiomedicalConcept_31","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"af701943-5aba-4b60-b6ff-73648d0d57d6","BiomedicalConcept_1","Adverse Event","Adverse Event","","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331"
"5c187248-514b-4267-ace8-25e19f438fcc","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"00ea356c-4e43-468b-a2b6-76998971c584","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"9ab6d3d1-b6b1-4036-8ae1-2d46b9de66fb","BiomedicalConcept_4","Body Temperature","Body Temperature","['Temperature']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446"
"bce61bc7-9979-4786-b0cf-89efb320793a","BiomedicalConcept_5","Body Weight","Body Weight","['Weight']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328"
"91aff0a9-d48f-44d7-b3d4-f536c38a01d5","BiomedicalConcept_6","Body Height","Body Height","['Height']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634"
"a0021f1e-b7f1-4d16-b23f-8fa03d595251","BiomedicalConcept_7","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"9341fd2c-d05d-4a1b-9482-c1c8a268fadb","BiomedicalConcept_8","Albumin Measurement","Albumin Measurement","['Albumin']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"8878958e-d801-4a2d-9d79-269f29994fda","BiomedicalConcept_9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"c876c2d2-b449-4e10-abe6-b2c71edef62f","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"2ad5aba0-69a2-4ad9-b6ee-8bce6e620c0b","BiomedicalConcept_11","Creatinine Measurement","Creatinine Measurement","['Creatinine']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"deb9e54b-d491-4ce9-a393-a984753d689e","BiomedicalConcept_12","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"491e2f35-0c65-4654-bed4-2363b00c4306","BiomedicalConcept_13","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"3ea68cfe-fb19-4342-b5ec-f4f4a2be6db0","BiomedicalConcept_14","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
