"instanceType","codeSystemVersion","codeSystem","code","decode","uuid:ID","id"
"Code","2023-09-29","http://www.cdisc.org","C98388","Interventional Study","6825c036-39fd-4c65-8a37-b730e96aac4f","Code_1"
"Code","2023-09-29","http://www.cdisc.org","C15601","Phase II Trial","49de83f8-f39c-42b5-9012-bf199a7011ae","Code_2"
"Code","2023-09-29","http://www.cdisc.org","C132352","Sponsor Approval Date","4b43eec1-9482-49aa-a616-334581dad5c5","Code_9"
"Code","2023-09-29","http://www.cdisc.org","C68846","Global","163a83bc-0de8-48ab-a34c-036f31f8f32e","Code_10"
"Code","2023-09-29","http://www.cdisc.org","C99904x3","IRB/IEC Feedback","ba1b363f-ae1a-43b7-b950-3e42cd28272a","Code_72"
"Code","2023-09-29","http://www.cdisc.org","C17649","Other","cd99562f-3e12-48d5-8015-3a9d213254aa","Code_73"
"Code","2023-09-29","http://www.cdisc.org","C41129","Region","64e9e5f6-6934-482a-9b15-b218b72aa5d9","Code_75"
"Code","2020-08","ISO 3166 1 alpha3","150","Europe","fb403eb1-4be2-4450-84e7-799beb8c7eda","Code_74"
"Code","12","SPONSOR","PHARMA","Eli Lilly","c7fb8dc5-c680-428d-be63-46da711bcd85","Code_4"
"Code","2023-09-29","http://www.cdisc.org","C70793","Clinical Study Sponsor","6f3b9eb5-d1fa-4b3f-96e0-667dd364937a","Code_76"
"Code","2020-08","ISO 3166 1 alpha3","DNK","Denmark","b1a99903-18fa-4820-9b9a-f6f039b4b023","Code_77"
"Code","2023-09-29","http://www.cdisc.org","C93453","Study Registry","22288584-0d1d-4d62-9f8e-dd5e3f86501b","Code_78"
"Code","2023-09-29","http://www.cdisc.org","C49656","Treatment Study","3606c910-63e1-4ee9-802c-bd4bee11c998","Code_136"
"Code","2023-09-29","http://www.cdisc.org","C49666","Efficacy Study","b2fa43fc-54b2-4faa-b817-8b36df9288d1","Code_137"
"Code","2023-09-29","http://www.cdisc.org","C49667","Safety Study","6faa6000-4496-4c05-90c7-e414f4db2781","Code_138"
"Code","2023-09-29","http://www.cdisc.org","C49663","Pharmacokinetic Study","7003be6b-4a69-4821-bfe4-b904e9dcf7eb","Code_139"
"Code","12","SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","55ce7c25-2ffd-43a0-bdcd-cd4dae99b57b","Code_133"
"Code","January 31, 2018","SNOMED","26929004","Alzheimer's disease","96a9b11f-95ee-4113-91b3-78782d6de6c4","Code_134"
"Code","2023-09-29","http://www.cdisc.org","C99907x1","EXTENSION","a74a0e0d-7d7b-4e9f-88e5-edd07310f520","Code_142"
"Code","2023-09-29","http://www.cdisc.org","C98704","ADAPTIVE","542a5488-6546-459a-967e-9bdfd4d978d4","Code_143"
"Code","2023-09-29","http://www.cdisc.org","C82639","Parallel Study","0a585ca6-9065-4315-a17d-0aeba4a88f6f","Code_140"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","d60431d7-986d-4d96-b6f7-1893960fa334","Code_82"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","be01e0d0-cca2-44a6-b121-d9b47c56ae82","Code_83"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","82faed58-0027-46cc-880f-aa1a1724f82d","Code_84"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","dd7916ec-c147-4893-af19-0cbc0b337c45","Code_85"
