"instanceType","sectionNumber","uuid:ID","name","text","id","sectionTitle"
"NarrativeContent","0","d43c62a4-a42e-43aa-ae5b-46fa5aa57668","ROOT","","NarrativeContent_1","Root"
"NarrativeContent","0","a82eff43-c1ea-4a34-8579-b351d712d01d","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","TITLE PAGE"
"NarrativeContent","1","8735ed32-a964-41ec-87d6-8b3551ca58b0","SECTION 1","<div></div>","NarrativeContent_3","PROTOCOL SUMMARY"
"NarrativeContent","1.1","ccaf29dd-ad20-4ae7-a0d7-14525b49b328","SECTION 1.1","<div></div>","NarrativeContent_4","Protocol Synopsis"
"NarrativeContent","1.2","345ab6fc-06d5-4713-895e-49e4b4c652ef","SECTION 1.2","<div></div>","NarrativeContent_5","Trial Schema"
"NarrativeContent","1.3","f10df25e-d283-4989-8881-713e57cfc5f3","SECTION 1.3","<div></div>","NarrativeContent_6","Schedule of Activities"
"NarrativeContent","2","a2e26dee-713a-4aac-9f2d-6b4dbb4bd4bb","SECTION 2","<div></div>","NarrativeContent_7","INTRODUCTION"
"NarrativeContent","2.1","85001d49-a66b-45ba-8d5e-320930891d0b","SECTION 2.1","<div></div>","NarrativeContent_8","Purpose of Trial"
"NarrativeContent","2.2","389e72e4-bb32-49b3-8785-6fac93dae8a4","SECTION 2.2","<div></div>","NarrativeContent_9","Summary of Benefits and Risks"
"NarrativeContent","3","6ce14fa2-6cc2-4176-97cd-92073fac0cba","SECTION 3","<div></div>","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent","3.1","9ccdc792-e392-4a30-b107-cf8fbf985c51","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","Primary Objectives"
"NarrativeContent","4","cd2c3f1e-263a-4cc4-adec-a08da97660ce","SECTION 4","<div></div>","NarrativeContent_12","TRIAL DESIGN"
"NarrativeContent","4.1","9bf56831-810e-4992-9da5-dda89a0ba614","SECTION 4.1","<div></div>","NarrativeContent_13","Description of Trial Design"
"NarrativeContent","4.1.1","bbc15d29-2385-4741-ae53-1c194a2efe3d","SECTION 4.1.1","<div></div>","NarrativeContent_14","Participant Input into Design"
"NarrativeContent","4.2","c2db99da-5ec5-4f8f-ad98-3230b0bb9ef2","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","Rationale for Trial Design"
