"instanceType","isRequired","name","uuid:ID","isEnabled","id","datatype","label"
"BiomedicalConceptProperty","True","Vital Signs Result","2d012785-1386-4be2-8bb8-04b39846ce6e","True","BiomedicalConceptProperty_98","decimal","Vital Signs Result"
"BiomedicalConceptProperty","True","Unit of Temperature","e8e788aa-1664-49bb-b879-eecf4700bcd4","True","BiomedicalConceptProperty_99","string","Unit of Temperature"
"BiomedicalConceptProperty","True","Vital Signs Location","d9bff58c-e84a-45d2-84ac-c72a9226eab7","True","BiomedicalConceptProperty_100","string","Vital Signs Location"
"BiomedicalConceptProperty","True","Vital Signs Result","a02c4cef-346f-40c0-b2c5-5cc5162bd171","True","BiomedicalConceptProperty_101","decimal","Vital Signs Result"
"BiomedicalConceptProperty","True","Unit of Weight","360a7932-8f78-4024-8560-c6b3f652c4b9","True","BiomedicalConceptProperty_102","string","Unit of Weight"
"BiomedicalConceptProperty","True","Vital Signs Result","c02e2e7e-446b-42ed-bc24-07a78f06808c","True","BiomedicalConceptProperty_103","decimal","Vital Signs Result"
"BiomedicalConceptProperty","True","Unit of Height","70650e12-d13d-4781-83ad-dc649dcc1f50","True","BiomedicalConceptProperty_104","string","Unit of Height"
"BiomedicalConceptProperty","True","Laboratory Test Result","61b59014-a1ee-4487-9c3a-ad00b9ffa7e0","True","BiomedicalConceptProperty_105","decimal","Laboratory Test Result"
"BiomedicalConceptProperty","True","Laboratory Test Fasting Status","7c948dae-1190-4c76-ae56-c49d9b252a1b","True","BiomedicalConceptProperty_106","boolean","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","5d254c8c-5659-40b7-84ef-4fb0e1bf4b37","True","BiomedicalConceptProperty_107","string","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","True","Biospecimen Type","7b8eb411-f257-4669-9293-29c5f152230a","True","BiomedicalConceptProperty_108","string","Biospecimen Type"
"BiomedicalConceptProperty","True","Laboratory Test Result","8c1979c5-b544-4e30-824f-706dba9bf87e","True","BiomedicalConceptProperty_109","string","Laboratory Test Result"
"BiomedicalConceptProperty","True","Laboratory Test Fasting Status","deed4c38-6ec4-41ae-a45b-c072d8e4ba21","True","BiomedicalConceptProperty_110","boolean","Laboratory Test Fasting Status"
