"instanceType","uuid:ID","name","text","id"
"TransitionRule","f7bc5e23-c40f-4d37-ae1c-c27563f88140","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1"
"TransitionRule","463b64e1-5beb-43b4-8b84-5483277e9b71","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2"
"TransitionRule","e6cf598b-844c-4813-b437-92b92dd53fe6","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"TransitionRule","ad18f55d-1a7e-4626-a665-680450100a83","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"TransitionRule","b7e7a76d-c72b-469a-a8c8-2ea130a866bf","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5"
"TransitionRule","501686a6-28bf-4394-8d3a-1e3f9d060ab8","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6"
"TransitionRule","843a9939-efab-430f-a68b-765004bbc386","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7"
"TransitionRule","480fa2e1-8144-4a9d-ad45-b5f6618e68ec","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"TransitionRule","a0e05618-493e-4d64-a062-64108fdf81b2","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9"
"TransitionRule","dffa4cf1-35d9-40a8-93ad-cab653c4cf25","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"TransitionRule","4ad727be-bf44-4bd6-af15-45f46255a4bb","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"TransitionRule","03177ef2-1b0d-4bd1-873b-d3aa9cbf7d49","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10"
"TransitionRule","12e905fb-2942-42ca-b606-dae7a5465b6e","ELEMENT_START_RULE_4","Randomized","TransitionRule_11"
"TransitionRule","f2ed2af1-a3b1-456a-ac6d-676d4199c0eb","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"TransitionRule","a0498170-349a-4ac4-84f9-64f36304a27b","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
