"instanceType","uuid:ID","name","id","description","label"
"Activity","25301989-2ba0-415d-a80f-757c880a081b","Informed consent","Activity_1","",""
"Activity","c6ebbacd-cef3-4554-b298-9c4ceb8ffbd2","Inclusion/exclusion criteria","Activity_2","",""
"Activity","8615e940-e5eb-4f14-94c5-14c22600e97a","Patient number assigned","Activity_3","",""
"Activity","009187af-a7e0-40d8-9ec9-68e25911f9b4","Demographics","Activity_4","","Demographics"
"Activity","90aa8c84-69a6-49f7-aeba-7a4f9d9acddf","Hachinski","Activity_5","","Hachinski"
"Activity","dc60acd0-af88-4e39-a7fd-1644343447b5","MMSE","Activity_6","","MMSE"
"Activity","a7143dbb-790b-4785-9986-4c88685c1c09","Physical examination","Activity_7","",""
"Activity","2564ea85-e2f4-4392-b087-ff6feefba11f","Medical history","Activity_8","",""
"Activity","638fdac6-5b8b-49b8-908e-d5582bde9e52","Habits","Activity_9","",""
"Activity","61602b87-c832-4448-b008-1cb88f46d776","Chest X-ray","Activity_10","",""
"Activity","555bd955-e618-4375-a3f8-66f5da9ffefc","Apo E genotyping","Activity_11","",""
"Activity","71a6dd2d-b794-49bd-8a6e-369a5b43d3f4","Patient randomised","Activity_12","",""
"Activity","c66a74aa-8f6b-46ac-85b7-96628d19b6a9","Vital signs / Temperature","Activity_13","","Vital Signs and Temperature"
"Activity","cb4f29cb-c806-47a4-bb53-d33a84641921","Ambulatory ECG placed","Activity_14","",""
"Activity","d4e2e81e-7811-43eb-b2dc-00bc9604d4e2","Ambulatory ECG removed","Activity_15","",""
"Activity","d7566f9b-d0cf-4b27-add6-db2f5ac77e86","ECG","Activity_16","",""
"Activity","febb5de4-3029-4366-a46b-87d98baf5f64","Placebo TTS test","Activity_17","",""
"Activity","d722d7bf-76fa-4380-ad59-63643b4c9618","CT scan","Activity_18","",""
"Activity","c52f4191-db1b-47b5-be8d-3398739f4e7e","Concomitant medications","Activity_19","",""
"Activity","04e0902e-6a68-4d19-9050-a55d7bc2d8be","Hematology","Activity_20","",""
"Activity","d1b8a82a-afc2-4ea0-9f66-ac8374df27df","Chemistry","Activity_21","",""
"Activity","efc88e8f-9123-4b6a-a7ba-2981df3ad609","Uninalysis","Activity_22","",""
"Activity","697a6775-e5d2-4c29-abd0-764c8fe7756d","Plasma Specimen (Xanomeline)","Activity_23","",""
"Activity","82c4b118-cc40-4e4e-bb38-2ce68a9981d2","Hemoglobin A1C","Activity_24","",""
"Activity","9c06ee13-e791-47e8-8f81-cc216aff343b","Study drug","Activity_25","","Study drug record , Medications dispensed, Medications returned"
"Activity","5fe85002-28d6-407c-96ea-25331fc4efa9","TTS Acceptability Survey","Activity_26","",""
"Activity","29573217-d27b-4dae-93f1-c3f75f035445","ADAS-Cog","Activity_27","",""
"Activity","5f2acc69-f2c6-426f-9a1f-8c6a0600421d","CIBIC+","Activity_28","",""
"Activity","21086375-880c-4504-8052-e230ce850eab","DAD","Activity_29","",""
"Activity","c64def5d-f4bc-4a71-bac8-6e4650183721","NPI-X","Activity_30","",""
"Activity","f8663db9-5d09-4762-9400-d28ff60d2378","Adverse events","Activity_31","",""
"Activity","15994fa4-6848-4709-bbd5-367c6df449c5","Check adverse events","Activity_32","",""
"Activity","be26496d-c109-4f7c-ad3e-6762dfda4a05","Supine","Activity_33","","Subject supine"
"Activity","ffc3c109-9ad4-4cc5-a881-89d99c423ec1","Vital Signs Supine","Activity_34","","Vital signs while supine"
"Activity","a610f6f6-ae97-421a-9d0e-8b356acc4e2a","Stand","Activity_35","","Subject Standing"
"Activity","87dd08f3-eda9-4559-9112-ff901a1f6a88","Vital Signs Standing","Activity_36","","Vital signs while standing"
