"window","instanceType","value","windowLower","windowUpper","uuid:ID","name","id","description","label"
"","Timing","P2W","","","bda3de6b-0080-42f6-a76a-31280bd4556f","TIM1","Timing_1","Screening timing","Screening"
"-4..0 hours","Timing","P2D","PT4H","PT0H","cd92cd7e-3a53-4301-a7ed-34e39bea1145","TIM2","Timing_2","Pre dose timing","Pre dose"
"","Timing","P1D","","","32f5b2b7-3389-4a7b-88cb-a1ffa93d8f44","TIM3","Timing_3","Dosing anchor","Dosing"
"-3..3 days","Timing","P2W","P3D","P3D","c2a55643-15f2-4b84-b970-4c8e589f534a","TIM4","Timing_4","Week 2 timing","Week 2"
"-3..3 days","Timing","P4W","P3D","P3D","1476452d-419b-45e6-889c-c478b2a6e231","TIM5","Timing_5","Week 4 timing","Week 4"
"-3..3 days","Timing","P6W","P3D","P3D","b862739e-b8e5-43f6-9fa6-5db89430b856","TIM6","Timing_6","Week 6 timing","Week 6"
"-3..3 days","Timing","P8W","P3D","P3D","f595103a-ad07-4a72-a44c-d43c16f0f4ad","TIM7","Timing_7","Week 8 timing","Week 8"
"-4..4 days","Timing","P12W","P4D","P4D","0c119494-8d10-4442-ab19-fefd8277d82e","TIM9","Timing_9","Week 12 timing","Week 12"
"-4..4 days","Timing","P16W","P4D","P4D","64f2a17c-995c-48ba-b702-411212eddbcc","TIM11","Timing_11","Week 16 timing","Week 16"
"-4..4 days","Timing","P20W","P4D","P4D","0fc78d73-020e-4d2c-9528-c3d4d4dcf428","TIM13","Timing_13","Week 20 timing","Week 20"
"-4..4 days","Timing","P24W","P4D","P4D","c5d832df-3fe6-4f95-bc53-dc91e9999e92","TIM15","Timing_15","Week 24 timing","Week 24"
"-3..3 days","Timing","P26W","P3D","P3D","ca53ec9b-43d7-4ca2-ba26-c8dcaf093ffe","TIM16","Timing_16","Week 26 timing","Week 26"
"","Timing","P2W","","","8f69afe6-2b43-49bf-89b5-7eec52717d4b","TIM8","Timing_8","Week 8 at home timing","Week 8 Home"
"","Timing","P2W","","","ee582346-930e-44c8-af0f-c2caccdfcb9f","TIM10","Timing_10","Week 12 at home timing","Week 12 Home"
"","Timing","P2W","","","9a80a07f-02c7-40f4-9f57-d8d0ff40ff71","TIM12","Timing_12","Week 16 at home timing","Week 16 Home"
"","Timing","P2W","","","11e78bbc-6f7b-4583-9ca4-cd7b128da9af","TIM14","Timing_14","Week 20 at home timing","Week 20 Home"
"","Timing","P1D","","","facf6fa8-8dcc-4a18-b808-adbe40e14e1b","TIM17","Timing_17","Adverse Event","Adverse Event"
"","Timing","P1D","","","1876076c-e545-4e1c-bd0e-ee4a9fb5f4f7","TIM18","Timing_18","Early Termination","Early Termination"
"","Timing","PT0M","","","0beabed5-6071-43ca-bb6c-60c94419f837","TIM19","Timing_19","Supine","Supine"
"","Timing","PT5M","","","7878f67f-8eca-4e0b-a8d9-341954ef9fd3","TIM20","Timing_20","VS while supine","VS while supine"
"","Timing","PT0M","","","e8b68f33-0e26-4bdd-a945-9273c304845a","TIM21","Timing_21","Standing","Standing"
"","Timing","PT1M","","","fdade13e-4466-4edb-8676-98802cc68c14","TIM22","Timing_22","VS while standing","VS while standing"
"","Timing","PT0M","","","73a33aa0-6357-44a1-8df6-7423001b76df","TIM23","Timing_23","Standing","Standing"
"","Timing","PT2M","","","4fc89183-3a2e-43ca-9752-5296fa3c624d","TIM24","Timing_24","VS while standing","VS while standing"
