"instanceType","uuid:ID","name","id","reference","synonyms","label"
"BiomedicalConcept","56a2ee70-ac53-4ae5-a0f5-50865422534b","Body Temperature","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature"
"BiomedicalConcept","52054562-a569-4f28-95a2-757bf7f1dc71","Body Weight","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight"
"BiomedicalConcept","55e17994-3cca-4eca-a461-776e965429ae","Body Height","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height"
"BiomedicalConcept","49446b21-04ec-4680-9d61-65def3750b85","Alanine Aminotransferase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept","a339f536-2110-4ec6-bfce-0431f5eb0aac","Albumin Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement"
"BiomedicalConcept","9d32fc7e-1e37-4430-93f5-a13374322832","Alkaline Phosphatase Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept","f33dc7b1-9ee2-4de0-854b-f9c2b52c80bc","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","94a6b552-0cae-46b5-8f48-42121efe6936","Creatinine Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept","e02d7eee-e610-4e55-b12e-b4f6b926b85c","Potassium Measurement","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept","ec3c91cb-973c-4149-92d3-f6d31eda141c","Sodium Measurement","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept","5fa5dd48-17a8-4d73-8968-03c0ca8cffb3","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event"
"BiomedicalConcept","3d88a991-cd44-40b3-a832-ea659e5f5a52","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept","af7a400d-58ae-451c-ba93-5ee132deccae","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept","f1764f6d-c6aa-47d2-b88e-1fb98bd32495","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature"
"BiomedicalConcept","abcb22c6-f9cc-4634-9b5f-b9212edb7cd5","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight"
"BiomedicalConcept","5a6d1b8f-c895-4367-93c4-3a55e4607a2f","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height"
"BiomedicalConcept","4c42454d-1aef-49e3-a8f9-784648749595","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept","d5ab28e9-acfa-4de7-a622-a246f72d8c2a","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement"
"BiomedicalConcept","a76d5e68-bb73-4279-aee7-289285485ced","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept","b2d42de5-c975-4191-9147-42a86186606a","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","2af4bd40-d458-480a-bb66-aa1c5f31552f","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement"
