"uuid:ID","instanceType","name","id","text"
"eb90aa2c-71a3-4a6d-a913-464da8ac222b","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier"
"beebe9a7-c45a-42ff-a277-6aeaf337242d","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities"
"d4b3e892-3b5f-4e16-a274-0574a94d33ac","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"172af93d-f9da-4f24-a41e-dc34fbdfd46a","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"13b0b98f-c0d9-490c-877a-d4c44d156427","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized"
"9b4e5047-6409-40bf-b3b5-464b60885526","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment"
"35573f99-4aad-47ce-9da3-787aafa550cc","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent"
"890162e2-3925-4748-aba9-fe415453799a","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"9cdbe610-da62-49d9-8174-fd6ebf69ebba","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose"
"0ddf4fc6-e80b-4bc1-96c6-77956de924a1","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"f3f9d16a-4efa-48fe-a946-49137ff26048","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"3b0ab672-4c21-4e19-afdf-5226fce419f6","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose"
"523c5ef5-041d-4c6c-b1fe-aba655ab428d","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","Randomized"
"81f4142f-5822-41e4-b500-96ea72ea5b25","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"97335cfe-37d3-48c9-9261-a62f3b8cf447","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
