"instanceType","uuid:ID","name","sectionNumber","id","text","sectionTitle"
"NarrativeContent","ef396bd3-a333-4b8f-9b0e-baaad499c705","ROOT","0","NarrativeContent_1","","Root"
"NarrativeContent","3a21edee-6bd9-4157-a233-50929b104b9f","SECTION 0","0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"NarrativeContent","92ad7768-fe11-4979-8a57-35a728b651ba","SECTION 1","1","NarrativeContent_3","<div></div>","PROTOCOL SUMMARY"
"NarrativeContent","d6f5da5e-3d78-473f-bf15-161e76b30621","SECTION 1.1","1.1","NarrativeContent_4","<div></div>","Protocol Synopsis"
"NarrativeContent","2ea633fa-443b-4af5-bea1-df1a3cebfbc5","SECTION 1.2","1.2","NarrativeContent_5","<div></div>","Trial Schema"
"NarrativeContent","5e62ec82-47a3-456d-ae74-2f654843f9cb","SECTION 1.3","1.3","NarrativeContent_6","<div></div>","Schedule of Activities"
"NarrativeContent","1eec3140-9ec9-4cd9-9598-45fc5251c4ce","SECTION 2","2","NarrativeContent_7","<div></div>","INTRODUCTION"
"NarrativeContent","ae86689d-e494-497c-a127-080dc61b06a4","SECTION 2.1","2.1","NarrativeContent_8","<div></div>","Purpose of Trial"
"NarrativeContent","bd5088cb-0f41-4013-b036-d439237046bd","SECTION 2.2","2.2","NarrativeContent_9","<div></div>","Summary of Benefits and Risks"
"NarrativeContent","9e226e67-b65b-48ae-a24d-9a7dcdfbbd7e","SECTION 3","3","NarrativeContent_10","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent","c3a0232b-0f94-4783-9f94-00bda4152d42","SECTION 3.1","3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"NarrativeContent","de4623b7-84a1-44df-a441-955db68fe7d6","SECTION 4","4","NarrativeContent_12","<div></div>","TRIAL DESIGN"
"NarrativeContent","1ee8d058-c9c6-4480-9265-16192f512d94","SECTION 4.1","4.1","NarrativeContent_13","<div></div>","Description of Trial Design"
"NarrativeContent","dad61332-9a82-4635-b985-3f2f5f16af16","SECTION 4.1.1","4.1.1","NarrativeContent_14","<div></div>","Participant Input into Design"
"NarrativeContent","4e9cd1e5-b43c-424b-94a4-6e0d8f9aa849","SECTION 4.2","4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"NarrativeContent","9ab874d1-1a3d-408d-b0a7-6fe921cf7905","SECTION 4.2.1","4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"NarrativeContent","0de5b044-1183-4a8a-9a00-fd6511810423","SECTION 4.2.2","4.2.2","NarrativeContent_17","<div></div>","Rationale for Adaptive or Novel Trial Design"
"NarrativeContent","eb4998f8-62c9-4329-9e79-e7e39353d0bf","SECTION 4.2.3","4.2.3","NarrativeContent_18","<div></div>","Other Trial Design Considerations"
"NarrativeContent","e73b7eb8-928e-45e0-bbca-fa424de3475a","SECTION 4.3","4.3","NarrativeContent_19","<div></div>","Access to Trial Intervention After End of Trial"
"NarrativeContent","11aa042a-79a4-4b87-806a-edf132b2bad2","SECTION 4.4","4.4","NarrativeContent_20","<div></div>","Start of Trial and End of Trial"
"NarrativeContent","0235b6ba-f26f-4b6b-9506-ac122e3123d6","SECTION 5","5","NarrativeContent_21","<div></div>","TRIAL POPULATION"
"NarrativeContent","e5816344-f639-40a1-8dbc-1a038763d553","SECTION 5.1","5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"NarrativeContent","89859e50-db0a-4192-922f-70fc40a8b843","SECTION 5.2","5.2","NarrativeContent_23","<div></div>","Rationale for Trial Population"
"NarrativeContent","a2db5560-9e78-44b1-b496-7c64e359eda2","SECTION 5.3","5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"NarrativeContent","6bee9819-3817-4b50-851c-334eda791ee3","SECTION 5.4","5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"NarrativeContent","d9e595f2-d16f-4a8b-b185-9308034061ef","SECTION 5.5","5.5","NarrativeContent_26","<div></div>","Lifestyle Considerations"
"NarrativeContent","5dfbc217-dcac-4a1b-b05b-4b62830029e9","SECTION 5.5.1","5.5.1","NarrativeContent_27","<div></div>","Meals and Dietary Restrictions"
"NarrativeContent","261bcf5d-59d4-46fb-ae36-8fbfebfad240","SECTION 5.5.2","5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"NarrativeContent","81d14b0b-ec86-4e69-a2d7-a37e7335fc90","SECTION 5.5.3","5.5.3","NarrativeContent_29","<div></div>","Physical Activity"
"NarrativeContent","794fb21c-7ad7-4eed-afe1-16848485a1c2","SECTION 5.5.4","5.5.4","NarrativeContent_30","<div></div>","Other Activity"
"NarrativeContent","0a101850-6317-465c-afd9-22590c1f0161","SECTION 5.6","5.6","NarrativeContent_31","<div></div>","Screen Failures"
"NarrativeContent","336e62d4-4ec3-42b2-b05e-d30768ece026","SECTION 6","6","NarrativeContent_32","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"NarrativeContent","11cf5627-5da8-484c-81a7-5afc86beab58","SECTION 6.1","6.1","NarrativeContent_33","<div></div>","Description of Trial Intervention"
"NarrativeContent","61a63e02-70af-4581-bd7b-cb955efc4600","SECTION 6.2","6.2","NarrativeContent_34","<div></div>","Rationale for Trial Intervention"
"NarrativeContent","1391eb62-9455-4748-a4f2-8dc2396f326f","SECTION 6.3","6.3","NarrativeContent_35","<div></div>","Dosing and Administration"
"NarrativeContent","1a875f6f-e903-475b-9dbb-87a4da49c3b5","SECTION 6.3.1","6.3.1","NarrativeContent_36","<div></div>","Trial Intervention Dose Modification"
"NarrativeContent","14bc37e1-8d74-4241-b704-1f3ef247d40c","SECTION 6.4","6.4","NarrativeContent_37","<div></div>","Treatment of Overdose"
"NarrativeContent","c9801be2-1ebd-4680-a572-8c6f8d45931a","SECTION 6.5","6.5","NarrativeContent_38","<div></div>","Preparation, Handling, Storage and Accountability"
"NarrativeContent","da020bbd-2b0a-433b-a3f8-025504aa025d","SECTION 6.5.1","6.5.1","NarrativeContent_39","<div></div>","Preparation of Trial Intervention"
