"instanceType","uuid:ID","id","codeSystemVersion","decode","code","codeSystem"
"Code","28f3c7af-4b07-4cf3-bbb9-27cafa4ff2dc","Code_1","2023-09-29","Interventional Study","C98388","http://www.cdisc.org"
"Code","e2d7989a-e43d-4c7c-bd16-e9af0c835b8e","Code_2","2023-09-29","Phase II Trial","C15601","http://www.cdisc.org"
"Code","63481d4f-2ab7-45c8-8931-00222381e98f","Code_9","2023-09-29","Sponsor Approval Date","C132352","http://www.cdisc.org"
"Code","e9c71cc4-5a03-401b-9523-903b0b8f9405","Code_10","2023-09-29","Global","C68846","http://www.cdisc.org"
"Code","a3095f34-d29a-41f1-aa35-421ad90a81bd","Code_72","2023-09-29","IRB/IEC Feedback","C99904x3","http://www.cdisc.org"
"Code","f41698cd-5be2-4c92-920f-246de22f287e","Code_73","2023-09-29","Other","C17649","http://www.cdisc.org"
"Code","2ae20416-1e6a-4973-96b5-092a8d489e39","Code_75","2023-09-29","Region","C41129","http://www.cdisc.org"
"Code","51ac75f4-972e-414c-b33d-16ead88c28dc","Code_74","2020-08","Europe","150","ISO 3166 1 alpha3"
"Code","6b25a3d5-751b-4630-b06e-ba80b3d394d0","Code_4","12","Eli Lilly","PHARMA","SPONSOR"
"Code","44f42254-a9fa-4cdd-a636-47c4af0323fd","Code_76","2023-09-29","Clinical Study Sponsor","C70793","http://www.cdisc.org"
"Code","9ac0617c-246e-4c3c-ac51-43f170c147d8","Code_77","2020-08","Denmark","DNK","ISO 3166 1 alpha3"
"Code","1eb1c2b1-ab74-4d26-adb2-b218f003f027","Code_78","2023-09-29","Study Registry","C93453","http://www.cdisc.org"
"Code","fbf70446-7583-4f96-a8c7-8e5be927fcbe","Code_136","2023-09-29","Treatment Study","C49656","http://www.cdisc.org"
"Code","5ce1d9ad-7d84-4661-8d82-2b71abab3783","Code_137","2023-09-29","Efficacy Study","C49666","http://www.cdisc.org"
"Code","ae5d093f-daf7-48f2-83df-793c33c40f6a","Code_138","2023-09-29","Safety Study","C49667","http://www.cdisc.org"
"Code","a21d719c-1702-47bb-ac9c-425f35d16e7a","Code_139","2023-09-29","Pharmacokinetic Study","C49663","http://www.cdisc.org"
"Code","f447a83c-db02-4c1f-aa4c-5f43aff416ff","Code_133","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","SPONSOR"
"Code","9b38dbe1-390e-4fbb-8373-be21d6d24add","Code_134","January 31, 2018","Alzheimer's disease","26929004","SNOMED"
"Code","42731bc6-9bbb-4118-a0f1-e5ecefb97bbf","Code_142","2023-09-29","EXTENSION","C99907x1","http://www.cdisc.org"
"Code","d596da5c-a88b-4f2b-8131-060dbe040e82","Code_143","2023-09-29","ADAPTIVE","C98704","http://www.cdisc.org"
"Code","85596e62-632e-4c5e-84b5-4128abafbccf","Code_140","2023-09-29","Parallel Study","C82639","http://www.cdisc.org"
"Code","230d64fb-9e95-4162-b8fc-88e84279c33f","Code_82","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","8a96ce7d-7f42-4418-afb6-9b06132b5aa4","Code_83","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","c2295431-7757-4841-bcaf-d2af33869fcc","Code_84","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","8ba16952-5411-493b-ae3d-1116f01be070","Code_85","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","2af1b044-447e-4363-acea-99be52c0550f","Code_86","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","24e39c7b-1daa-45c9-bc88-482ff1dc9175","Code_87","2023-09-29","In Person","C175574","http://www.cdisc.org"
"Code","f448df35-c2fc-4e13-a747-f2b2377f0e45","Code_88","2023-09-29","Visit","C25716","http://www.cdisc.org"
"Code","cdd866b6-ca7e-4152-b02c-22f09fa257d3","Code_89","2023-09-29","Clinic","C51282","http://www.cdisc.org"
"Code","4fc02e66-b120-4d42-bbfe-a3dc18328184","Code_90","2023-09-29","In Person","C175574","http://www.cdisc.org"
