"instanceType","uuid:ID","name","id","description","label"
"Encounter","47b1a68c-eacd-4269-ade3-ce68e07dab6b","E1","Encounter_1","Screening encounter","Screening 1"
"Encounter","fbfaf173-2bd9-4b7d-aa1e-5beac29753b9","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"Encounter","e90e9a4d-81ee-49a1-aa51-ed5634574f27","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"Encounter","98347748-2929-4aa9-acee-1665398e9c73","E4","Encounter_4","Day 14","Week 2"
"Encounter","0951fd5a-2dbb-4511-a108-27e7ddb11aaa","E5","Encounter_5","Day 28","Week 4"
"Encounter","3944b379-8311-4da4-af2b-73696a23de8c","E7","Encounter_6","Day 42","Week 6"
"Encounter","de3012f4-21d0-4d4b-8fe3-361e9212bb21","E8","Encounter_7","Day 56","Week 8"
"Encounter","97d5be71-f77e-42dd-bfbf-2bb7322d4209","E9","Encounter_8","Day 84","Week 12"
"Encounter","f46f7a4a-32eb-4724-beb8-4298750802e7","E10","Encounter_9","Day 112","Week 16"
"Encounter","9e93ccb8-be94-4148-87b0-69421c0b8132","E11","Encounter_10","Day 140","Week 20"
"Encounter","6842c8c2-bd2c-47da-a5ee-e375342101a9","E12","Encounter_11","Day 168","Week 24"
"Encounter","b1a55e60-27ac-4c5d-b0be-dd93fe6ec0f2","E13","Encounter_12","Day 182","Week 26"
