"windowUpper","instanceType","uuid:ID","name","window","id","description","label","value","windowLower"
"","Timing","7420a28f-93fc-4b54-99d3-d84d741c872b","TIM1","","Timing_1","Screening timing","Screening","P2W",""
"PT0H","Timing","54800fba-c15b-4c4f-b9c2-9d9098baaaa0","TIM2","-4..0 hours","Timing_2","Pre dose timing","Pre dose","P2D","PT4H"
"","Timing","842e2fcb-97f2-4108-a454-04123dd96cd7","TIM3","","Timing_3","Dosing anchor","Dosing","P1D",""
"P3D","Timing","3c96976c-c323-43e6-a9d5-a6e43fbf1b73","TIM4","-3..3 days","Timing_4","Week 2 timing","Week 2","P2W","P3D"
"P3D","Timing","fe49e37f-bc41-4706-a5f8-0d3296a2b085","TIM5","-3..3 days","Timing_5","Week 4 timing","Week 4","P4W","P3D"
"P3D","Timing","5bec5fb8-32ff-4edd-9740-7f406e495002","TIM6","-3..3 days","Timing_6","Week 6 timing","Week 6","P6W","P3D"
"P3D","Timing","30e50d2a-d124-4c54-97ba-85afa280c17b","TIM7","-3..3 days","Timing_7","Week 8 timing","Week 8","P8W","P3D"
"P4D","Timing","b6e55321-3c60-4304-bae9-dd8f574fb16f","TIM9","-4..4 days","Timing_9","Week 12 timing","Week 12","P12W","P4D"
"P4D","Timing","296f4d9e-6d3d-4391-82a1-cd44b3de2716","TIM11","-4..4 days","Timing_11","Week 16 timing","Week 16","P16W","P4D"
"P4D","Timing","c2cdf3a2-c20c-4f36-9533-e2cf00a7d44e","TIM13","-4..4 days","Timing_13","Week 20 timing","Week 20","P20W","P4D"
"P4D","Timing","f2f5f466-9a4d-4705-adad-e845a7dc3abf","TIM15","-4..4 days","Timing_15","Week 24 timing","Week 24","P24W","P4D"
"P3D","Timing","392674d4-8a71-425f-a0ea-b3a5433a2c16","TIM16","-3..3 days","Timing_16","Week 26 timing","Week 26","P26W","P3D"
"","Timing","8eabebe1-a35b-44aa-a330-4d7d15e4e2a1","TIM8","","Timing_8","Week 8 at home timing","Week 8 Home","P2W",""
"","Timing","8cb54390-f1c1-4078-bdd8-23d2c5b685c8","TIM10","","Timing_10","Week 12 at home timing","Week 12 Home","P2W",""
"","Timing","e9ded1b0-5316-40a2-9c50-61945d7a74f5","TIM12","","Timing_12","Week 16 at home timing","Week 16 Home","P2W",""
"","Timing","789a9374-67ed-4934-a2c0-fa8144a6f886","TIM14","","Timing_14","Week 20 at home timing","Week 20 Home","P2W",""
"","Timing","f1de3d24-c6f3-4781-a3d0-53b8e03340c5","TIM17","","Timing_17","Adverse Event","Adverse Event","P1D",""
"","Timing","e40eee8c-5193-4af8-86ac-3cd761635e4d","TIM18","","Timing_18","Early Termination","Early Termination","P1D",""
"","Timing","bf9b88a2-7eb7-4776-a083-0b3f3860aca7","TIM19","","Timing_19","Supine","Supine","PT0M",""
"","Timing","13e8e948-1ef6-4b4f-a9f0-ae01c38bd50a","TIM20","","Timing_20","VS while supine","VS while supine","PT5M",""
"","Timing","25be15a7-5fc2-4e17-acb9-00d10b7b5f3a","TIM21","","Timing_21","Standing","Standing","PT0M",""
"","Timing","a5567b03-d41a-4b82-bf92-4df0f7f89f2c","TIM22","","Timing_22","VS while standing","VS while standing","PT1M",""
"","Timing","7a8d33f3-a47b-439a-8366-533f0bb9b8b2","TIM23","","Timing_23","Standing","Standing","PT0M",""
"","Timing","342350d1-78ed-4fc4-ad57-4fe7c6298664","TIM24","","Timing_24","VS while standing","VS while standing","PT2M",""
