"description","id","uuid:ID","name","instanceType","label"
"Screening encounter","Encounter_1","b77a4f38-42f2-40e8-8cf2-8fff387794ed","E1","Encounter","Screening 1"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","6cb1d11f-d435-41ab-92e4-35eab5f50dcf","E2","Encounter","Screening 2"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","c15874c3-82da-4b1e-9f68-db83289130fb","E3","Encounter","Baseline"
"Day 14","Encounter_4","8620e423-64ff-4e0d-a53b-76a3fb4640db","E4","Encounter","Week 2"
"Day 28","Encounter_5","42c6db73-18e0-4c6e-8fae-e0795a44515d","E5","Encounter","Week 4"
"Day 42","Encounter_6","a85654bf-8c82-4acd-a976-6f3a760c306e","E7","Encounter","Week 6"
"Day 56","Encounter_7","4235e920-e32f-4186-8975-883c4ef8d5cf","E8","Encounter","Week 8"
"Day 84","Encounter_8","0a09d886-8722-474b-8b53-f9165f6a1320","E9","Encounter","Week 12"
"Day 112","Encounter_9","a7525f05-0ef0-486b-a841-02591434b071","E10","Encounter","Week 16"
"Day 140","Encounter_10","b8c3c445-86b9-43ca-ac89-cbea2d54794b","E11","Encounter","Week 20"
"Day 168","Encounter_11","e360d8c3-ac78-4aba-9038-2f21769103f2","E12","Encounter","Week 24"
"Day 182","Encounter_12","d264873f-5835-4340-a0bb-d75c6608a002","E13","Encounter","Week 26"
