"description","id","uuid:ID","name","instanceType","text","label","purpose"
"","Endpoint_1","ceb5b35e-2ed0-4b56-9e8a-e7b31b109dad","END1","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","",""
"","Endpoint_2","18f68ed3-924a-4063-a58f-1dbf289f33e1","END2","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","",""
"","Endpoint_3","4800786c-29c4-4a09-b7f7-9b5f2a07b1f8","END3","Endpoint","Adverse events","",""
"","Endpoint_4","7265f43c-f1a3-49ab-ba00-c1191a8ac4f8","END4","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","",""
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","5ac39b48-10b9-4144-bac1-567d4748f647","END5","Endpoint","Laboratory evaluations (Change from Baseline)","",""
"","Endpoint_6","989cedd7-3021-4436-9a15-0caf308ad331","END6","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","",""
"","Endpoint_7","fd003ca5-4620-4ee3-b311-93a2fb67ef8d","END7","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","",""
"","Endpoint_8","6f47075d-ea93-46e1-9d3d-eae82373ae2f","END8","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","",""
"","Endpoint_9","40f5844e-1e68-40bb-a085-6df71c9aaaa4","END9","Endpoint","*** To be determined from protocol ***","",""
"","Endpoint_10","60251958-f087-4dde-b158-e3dbb90db7d2","END10","Endpoint","*** To be determined from protocol ***","",""
"","Endpoint_11","fd3b2900-7c23-4505-9799-3456a2cd6fb8","END11","Endpoint","*** To be determined from protocol ***","",""
