"description","id","uuid:ID","name","instanceType","label"
"-","ScheduledActivityInstance_9","05bd620b-f2c4-40d1-b546-4637d1ed4a20","SCREEN1","ScheduledActivityInstance","Screen One"
"-","ScheduledActivityInstance_10","f560c437-c762-4860-9e85-2d99f39b19ff","SCREEN2","ScheduledActivityInstance","Screen Two"
"-","ScheduledActivityInstance_11","a79c1910-d3bc-4a24-a9fa-3cada5ba68ef","DOSE","ScheduledActivityInstance","Dose"
"-","ScheduledActivityInstance_12","97a2b08f-c688-46ca-914f-4e89375b1be2","WK2","ScheduledActivityInstance","Week 2"
"-","ScheduledActivityInstance_13","31fe026a-6a9b-4d7c-9b6a-57b8ab0921a9","WK4","ScheduledActivityInstance","Week 4"
"-","ScheduledActivityInstance_14","12c568fe-0897-44a2-a03c-30042d3c708b","WK6","ScheduledActivityInstance","Week 6"
"-","ScheduledActivityInstance_15","7d93f05c-0f45-4f04-8e8c-56dbce72c77e","WK8","ScheduledActivityInstance","Week 8"
"-","ScheduledActivityInstance_16","9ce651c0-d448-421b-9bd9-995f5464c647","WK8N","ScheduledActivityInstance","Week NPI"
"-","ScheduledActivityInstance_17","39c994ff-aa5a-4f7a-b46a-608f208fd13d","WK12","ScheduledActivityInstance","Week 12"
"-","ScheduledActivityInstance_18","096792d6-0e20-4b46-8cbd-f94358404d95","WK12N","ScheduledActivityInstance","Week 12 NPI"
"-","ScheduledActivityInstance_19","e76c16b1-6dbd-4af7-8fc0-ab482a0679c7","WK16","ScheduledActivityInstance","Week 16"
"-","ScheduledActivityInstance_20","527488f0-93db-4191-be9f-e716860a8ff4","WK16N","ScheduledActivityInstance","Week 16 NPI"
"-","ScheduledActivityInstance_21","a0018752-63aa-4b8e-8692-c30807979eff","WK20","ScheduledActivityInstance","Week 20"
"-","ScheduledActivityInstance_22","e4c696b2-6016-4f81-86e3-6b7ce261fd4d","WK20N","ScheduledActivityInstance","Week 20 NPI"
"-","ScheduledActivityInstance_23","78432439-c5af-4b98-8f16-ada101fdfe62","WK24","ScheduledActivityInstance","Week 24"
"-","ScheduledActivityInstance_24","541187ca-e722-4a9a-859a-760fd3961d0d","WK26","ScheduledActivityInstance","Week 26"
"-","ScheduledActivityInstance_1","a9c99d5b-5494-401f-b629-59b4bf4cdc2a","AE","ScheduledActivityInstance","Adevers Event"
"-","ScheduledActivityInstance_2","cd57878c-54ff-41a0-a4d1-c41a020f3b2e","ET","ScheduledActivityInstance","Early Termination"
"","ScheduledActivityInstance_3","f97d53d3-ddef-4c86-a092-ef3330fcb846","VS_5MIN","ScheduledActivityInstance","5 minute supine"
"","ScheduledActivityInstance_4","a9dc41b3-6309-482a-a31a-0ce825f824ec","VS_SUPINE","ScheduledActivityInstance","Vital signs supine"
"","ScheduledActivityInstance_5","c1f01469-9c73-42ca-86b3-d14eeb09e03b","VS_1MIN","ScheduledActivityInstance","1 minute standing"
"","ScheduledActivityInstance_6","9081df06-64db-4f2a-86fb-a58fc3c284a6","VS_STAND1","ScheduledActivityInstance","Vital signs after 1 min standing"
"","ScheduledActivityInstance_7","4d647b6b-4aca-45e8-92e8-0200f1e94cf1","VS_2MIN","ScheduledActivityInstance","2 minute standing"
"","ScheduledActivityInstance_8","4e84e008-4287-41f5-b611-37e075a270e4","VS_STAND3","ScheduledActivityInstance","Vital signs after 3 min standing"
