"id","uuid:ID","name","instanceType","text"
"TransitionRule_1","dd7e535b-54a3-4bc6-a116-3bd273e167d9","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier"
"TransitionRule_2","a323b901-970b-40b1-87fb-3f00a3a19093","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities"
"TransitionRule_3","db33309c-d5d8-4bfa-9b5d-a56ea72ff12e","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","9623a590-5923-4d87-9d86-174f3bf1b69a","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","d984b4d7-8f43-4af7-b2db-3b0c9fdf200a","ENCOUNTER_START_RULE_3","TransitionRule","Radomized"
"TransitionRule_6","cb6d9eea-e650-4cdc-94d5-0db6700a3daf","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment"
"TransitionRule_7","3ec9a452-805b-4c8f-88cc-fa7d92e6dbd8","ELEMENT_START_RULE_1","TransitionRule","Informed consent"
"TransitionRule_8","9c6b9076-01b4-4909-8de5-1a6015a9f825","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","dcb1fde9-efb1-4cb2-8600-66759a2a7f1d","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose"
"TransitionRule_14","e1d42e27-527d-4267-9a1d-5c4e1e72bade","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","3d920fda-eb1c-4b49-a9e3-2d8f3f2eac2d","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","38912429-7d8c-4632-a0de-ff8af1b8565c","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose"
"TransitionRule_11","4869260a-cd85-4b85-9e50-c72f0f087dc5","ELEMENT_START_RULE_4","TransitionRule","Randomized"
"TransitionRule_12","e54d09a3-e896-4cf2-8796-5a4bd7b78265","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","a2352133-86fe-4767-a875-9748bfbd1a8c","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
