"value","description","id","valueLabel","uuid:ID","name","instanceType","windowUpper","windowLower","label","windowLabel"
"P2W","Screening timing","Timing_1","2 weeks","bec6b8b0-3c15-425d-b72e-5c333cc70271","TIM1","Timing","","","Screening",""
"P2D","Pre dose timing","Timing_2","2 days","b12353f2-01fc-4b00-a165-a44fadd9019c","TIM2","Timing","PT0H","PT4H","Pre dose","-4..0 hours"
"P1D","Dosing anchor","Timing_3","1 Day","b7c8c3d4-5515-4e10-857d-e21d386e9c63","TIM3","Timing","","","Dosing",""
"P2W","Week 2 timing","Timing_4","2 Weeks","6e3cee48-21ab-43b5-b742-b27a4b12e56e","TIM4","Timing","P3D","P3D","Week 2","-3..3 days"
"P4W","Week 4 timing","Timing_5","4 Weeks","cefbe316-4f4d-4a3c-9e0c-505a59f21033","TIM5","Timing","P3D","P3D","Week 4","-3..3 days"
"P6W","Week 6 timing","Timing_6","6 Weeks","7e1ec44b-f298-4c7c-9b51-763e4feddcd5","TIM6","Timing","P3D","P3D","Week 6","-3..3 days"
"P8W","Week 8 timing","Timing_7","8 Weeks","c6328f79-bfae-416d-94ad-81420706c680","TIM7","Timing","P3D","P3D","Week 8","-3..3 days"
"P12W","Week 12 timing","Timing_9","12 Weeks","5c8b4732-ba62-4e93-9f7e-009f75a75e30","TIM9","Timing","P4D","P4D","Week 12","-4..4 days"
"P16W","Week 16 timing","Timing_11","16 Weeks","7f96834c-fb2b-45cf-a4ee-8ded1763bdaf","TIM11","Timing","P4D","P4D","Week 16","-4..4 days"
"P20W","Week 20 timing","Timing_13","20 Weeks","2b7d4aa6-4ffd-4c41-8ac3-e9a5d433b672","TIM13","Timing","P4D","P4D","Week 20","-4..4 days"
"P24W","Week 24 timing","Timing_15","24 Weeks","e1dd737b-2f74-4071-ab97-4b5506465475","TIM15","Timing","P4D","P4D","Week 24","-4..4 days"
"P26W","Week 26 timing","Timing_16","26 Weeks","0a45f9ca-7092-4f41-9958-5331156d16ae","TIM16","Timing","P3D","P3D","Week 26","-3..3 days"
"P2W","Week 8 at home timing","Timing_8","2 Weeks","5a998289-9cb7-4201-bede-80a5d35cdc75","TIM8","Timing","","","Week 8 Home",""
"P2W","Week 12 at home timing","Timing_10","2 Weeks","7d977868-0d58-4c44-9fe2-94ecadabb4ac","TIM10","Timing","","","Week 12 Home",""
"P2W","Week 16 at home timing","Timing_12","2 Weeks","df40a110-67bc-41ae-acd5-64dd400ca707","TIM12","Timing","","","Week 16 Home",""
"P2W","Week 20 at home timing","Timing_14","2 Weeks","1799f217-5ed1-422b-89b0-372f876e2629","TIM14","Timing","","","Week 20 Home",""
"P1D","Adverse Event","Timing_17","1 Day","c10aa3e6-486e-47c3-a8b8-061e7baef0bb","TIM17","Timing","","","Adverse Event",""
"P1D","Early Termination","Timing_18","1 Day","73cc65cc-808e-4656-bf09-12542bde1edb","TIM18","Timing","","","Early Termination",""
"PT0M","Supine","Timing_19","0 mins","856d3bc6-3c46-4ec2-ba86-0e86ade5399b","TIM19","Timing","","","Supine",""
"PT5M","VS while supine","Timing_20","5 mins","22e0419a-f339-4688-9afe-a598df60a988","TIM20","Timing","","","VS while supine",""
"PT0M","Standing","Timing_21","0 min","155611eb-9624-465a-90cf-9d2d4621dcbc","TIM21","Timing","","","Standing",""
"PT1M","VS while standing","Timing_22","1 min","b8fe2e5f-911f-4d94-b690-0a436a206d80","TIM22","Timing","","","VS while standing",""
"PT0M","Standing","Timing_23","0 min","df50a601-808f-4cca-b618-c7ee623a23ec","TIM23","Timing","","","Standing",""
"PT2M","VS while standing","Timing_24","2 min","d7563c55-58b9-447b-9058-31f07deb9c79","TIM24","Timing","","","VS while standing",""
