"id","uuid:ID","name","instanceType","synonyms","label","reference"
"BiomedicalConcept_20","f54636fc-a3d5-4ec5-863c-e922b291ba31","Sex","BiomedicalConcept","","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"BiomedicalConcept_21","041eb85d-6c43-4706-934e-1f73556f9037","Race","BiomedicalConcept","['Racial Group']","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"BiomedicalConcept_22","b5d6cb98-76dd-410d-9b06-2df6070afbcb","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_23","6dbae07c-884d-4f96-b65b-faf1ce84305f","Weight","BiomedicalConcept","['Weight', 'Body Weight']","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_24","eb8b5472-2e1c-44d0-8f03-c41c0d1e365e","Height","BiomedicalConcept","['Height', 'Body Height']","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_25","459277c0-faed-4143-99f7-04a06dfd3ef4","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_26","0411f9dd-9456-43e9-8bf9-a1a4153bfdad","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_27","3e1a812c-a342-4c11-b085-1a3d43917fa9","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_28","1834f031-b758-4a7a-8dd4-edf53f78bb6b","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_29","513fdd4d-de38-457a-ad89-d92f5db2eb25","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
