"id","decode","uuid:ID","instanceType","code","codeSystem","codeSystemVersion"
"Code_1","Interventional Study","920a346d-5585-4719-9c93-efef3ebb243f","Code","C98388","http://www.cdisc.org","2023-12-15"
"Code_2","Phase II Trial","dd74fec3-3649-4097-8342-c171563d7cf9","Code","C15601","http://www.cdisc.org","2023-12-15"
"Code_9","Sponsor Approval Date","13a0aeb2-4bc9-4b16-b3d4-5a0638763ae5","Code","C132352","http://www.cdisc.org","2023-12-15"
"Code_10","Global","64583f3a-c669-400a-851f-ddc9fffb8e5d","Code","C68846","http://www.cdisc.org","2023-12-15"
"Code_72","IRB/IEC Feedback","324ab776-247a-4b6b-8b9e-60c824cd2107","Code","C99904x3","http://www.cdisc.org","2023-12-15"
"Code_73","Other","945bd9b6-58bb-40a0-ab09-d38179239f8d","Code","C17649","http://www.cdisc.org","2023-12-15"
"Code_75","Region","7e9c9709-a176-42c4-9320-10aca0e7c73d","Code","C41129","http://www.cdisc.org","2023-12-15"
"Code_74","Europe","c600a7fb-4df2-4c1e-8208-3e8a842f8daa","Code","150","ISO 3166 1 alpha3","2020-08"
"Code_4","Eli Lilly","dabfe225-f1d1-43fb-a1ae-619b5681c646","Code","PHARMA","SPONSOR","12"
"Code_76","Clinical Study Sponsor","f31fea30-3f83-44dc-a0d2-8c3b3b19588c","Code","C70793","http://www.cdisc.org","2023-12-15"
"Code_77","United States of America","3c5b3da4-87c7-46ed-9a7e-ff4d430cab14","Code","USA","ISO 3166 1 alpha3","2020-08"
"Code_78","Study Registry","7b0cbd8a-0887-43fc-91da-5bfb7fff244b","Code","C93453","http://www.cdisc.org","2023-12-15"
"Code_79","United States of America","c750cfa4-c01b-427a-bb57-060a57405f47","Code","USA","ISO 3166 1 alpha3","2020-08"
"Code_137","Treatment Study","f66247bc-14ad-4a91-bd50-2de16371f3c0","Code","C49656","http://www.cdisc.org","2023-12-15"
"Code_138","Efficacy Study","82643d90-fc3c-44e4-a4db-85118cd5d3a9","Code","C49666","http://www.cdisc.org","2023-12-15"
"Code_139","Safety Study","ce378b49-d25b-44c5-b0e8-0588de591518","Code","C49667","http://www.cdisc.org","2023-12-15"
"Code_140","Pharmacokinetic Study","65633577-3800-4e55-9bf5-2c9d59095599","Code","C49663","http://www.cdisc.org","2023-12-15"
"Code_134","Mild to Moderate Alzheimer's Disease","bcbeab51-cb6e-4453-a420-54202e3feaf4","Code","MILD_MOD_ALZ","SPONSOR","12"
"Code_135","Alzheimer's disease","12570428-4e29-47b7-8ba5-ae20c7a96eb9","Code","26929004","SNOMED","January 31, 2018"
"Code_143","EXTENSION","e047a52b-3693-4093-aec8-2216db7723f9","Code","C99907x1","http://www.cdisc.org","2023-12-15"
"Code_144","ADAPTIVE","cbb053ed-83d7-486d-b967-6a1dda895391","Code","C98704","http://www.cdisc.org","2023-12-15"
"Code_141","Parallel Study","4230a8bf-ae41-4eaa-a78d-958b82bfc4e6","Code","C82639","http://www.cdisc.org","2023-12-15"
"Code_83","Visit","bf1ba304-7a5d-4c02-86ac-1a879b16b2ab","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_84","Clinic","2874b1ad-8e91-476e-a969-edeea78e334e","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_85","In Person","2ed6d56c-6f8b-43a4-8be8-6dc705347b01","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_86","Visit","34b936c2-cf30-4cd9-a058-e6ec5234cd07","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_87","Clinic","d6e39539-32a6-4194-851f-157b0ebac3ab","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_88","In Person","7095404d-3aea-4a7d-860b-ba2e335adbbf","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_89","Visit","184fb849-6a0d-4452-bcf5-1dd70b62c17d","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_90","Clinic","69e8419f-767c-4d8d-8726-bd89ec0be259","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_91","In Person","52ef238e-7578-427d-b138-51b239ee9a38","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_92","Visit","48c6ca5d-53d8-4ae4-88e8-7078a2893bb9","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_93","Clinic","edc6a718-fd82-44a0-9f32-00ef90578fb2","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_94","In Person","1a034f4f-a05c-4427-ad08-54b5468898b5","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_95","Visit","a18da4b9-36f4-41d8-bf5c-5f7daf8b6afa","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_96","Clinic","e529e3de-2689-4d00-b7d4-9faf2bd3bb0a","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_97","In Person","098c4e18-88dc-488c-8ddb-aa0c303e7ebd","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_98","Visit","771b2de1-ee7e-456e-94a2-9480476dca7e","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_99","Clinic","e4d49d78-a8e1-43e7-ac49-902a6b3c11f3","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_100","In Person","ff80b62c-837e-4efb-9ae8-17ee3e36e93b","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_101","Visit","9158ef83-b902-4b3a-997c-895710210bf9","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_102","Clinic","0810fb8b-3bc3-4553-84a0-0a729e2cf332","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_103","In Person","d67c712f-8298-4056-ad4b-dece243d0cfd","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_104","Telephone Call","838e4d46-adfb-49a0-8e16-d60017b8157f","Code","C171537","http://www.cdisc.org","2023-12-15"
"Code_105","Visit","73791315-f503-4e7c-b922-9eeb661975ae","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_106","Clinic","47ed1091-5a2c-4b4a-926e-cd3624fd076c","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_107","In Person","e83e2326-4c06-430c-b9dc-5e7a726e7075","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_108","Telephone Call","a7336136-ff58-4910-8c7b-34c9638c0c7d","Code","C171537","http://www.cdisc.org","2023-12-15"
"Code_109","Visit","14976047-7ef9-4d31-92c2-a1298838ebfe","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_110","Clinic","a302417a-17be-415e-9f57-2e62f1c37665","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_111","In Person","8a6165eb-e658-4f76-acfa-9d184525f63f","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_112","Telephone Call","fd072dd0-8583-4eb9-bb04-3cefecf923c1","Code","C171537","http://www.cdisc.org","2023-12-15"
"Code_113","Visit","80d6bae8-e3d9-40e1-ad49-177b48e60084","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_114","Clinic","c2e2bc4b-82c8-4c0e-9936-14976a3af870","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_115","In Person","83aa9e0a-a3fc-4089-afdd-8a85bd7403a8","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_116","Telephone Call","9a194d04-8a88-4ccc-b184-7c375d111aeb","Code","C171537","http://www.cdisc.org","2023-12-15"
"Code_117","Visit","2ed34a29-2cde-4113-a5bd-facb51f3ffca","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_118","Clinic","c074a0b5-af85-455d-badc-b08be32929c3","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_119","In Person","f0b25ab2-6d50-40fd-a035-b2b680793b52","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_120","Visit","8f7b9080-89ff-4786-a394-d395acf4cd61","Code","C25716","http://www.cdisc.org","2023-12-15"
"Code_121","Clinic","169dc3bb-95d0-482a-b153-16bdff880269","Code","C51282","http://www.cdisc.org","2023-12-15"
"Code_122","In Person","ab49dd7f-3d43-4c44-b40f-cfbe121069b7","Code","C175574","http://www.cdisc.org","2023-12-15"
"Code_80","CT of head without contrast","e917fc9a-79a4-4ab4-b9ba-a4d6e7fcad0e","Code","383371000119108","SNOMED","January 31, 2018"
"Code_81","Subject Supine","2215fa8c-b934-42e8-b4e0-90ea710f1cc5","Code","123","SPONSOR","12"
"Code_82","Subject Standing","73a62f69-ad02-4d64-add2-2a914302932f","Code","124","SPONSOR","12"
"Code_429","Male","318a9f75-bf57-4af4-8fab-30429bd5f921","Code","C20197","http://www.cdisc.org","2023-12-15"
"Code_430","Female","827f1cfb-f6b2-4fe6-9fe1-4af0ea5e2cd8","Code","C16576","http://www.cdisc.org","2023-12-15"
"Code_431","Sex","b96c742b-e536-406f-b644-0f017e3881c9","Code","C28421","http://www.cdisc.org","2023-12-15"
