"id","instanceType","name","uuid:ID","text"
"TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1","4cd5cde2-a77c-4b2c-a926-c9fb14de2b2a","Subject identifier"
"TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1","b59a8977-988f-49a4-85d5-786a0841c17d","completion of screening activities"
"TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2","a3937fcf-5d0b-4608-9d83-3331a0172217","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3","dc0068c1-9969-4d7d-9d93-407195aaebc8","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3","698d6c75-7ae6-4947-857b-c78bc5f62beb","Radomized"
"TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12","f1a37ec5-0727-4684-ab80-fbe2d5930bd5","End of treatment"
"TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1","795ba635-47ec-427f-8a69-a71308563656","Informed consent"
"TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1","2d50a1c9-3734-42cc-a6a6-87b6e3c8bb25","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2","9a1557d1-8508-4509-8e16-7175ad868e17","Administration of first dose"
"TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7","358c6b2c-de25-491d-8092-63db4b386aca","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7","941d97c1-0838-4891-98a4-e99fbd2fe024","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3","628e31bf-7ce0-436a-8281-5ede9c51fcc8","Administration of first dose"
"TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4","06ee6f4b-c9f7-42d8-b2e8-9713f27f7656","Randomized"
"TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5","db9019f3-17f9-4657-a754-a625c1be52dc","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6","8587ab1c-e53e-47f8-ba0f-6b14bdd7e4a4","Administration of first dose (from patches supplied at Visit 12)"
