"label","id","instanceType","name","uuid:ID","description"
"Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","SCREEN1","3b19a89f-06d9-485b-b4b5-a58a6c74a688","-"
"Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","SCREEN2","5f9ad638-8c8d-4d26-8133-0c8aa031ab38","-"
"Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","DOSE","f1aa4cb2-335f-4d22-85b8-1a72c469eff2","-"
"Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","WK2","149b840c-1d3a-4b62-8475-540265225ecd","-"
"Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","WK4","1f034919-b46e-4122-84c7-3020e9676f97","-"
"Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","WK6","a34225c6-699f-4a89-a4c8-d777bc8c6b02","-"
"Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","WK8","e5985ec6-0aa3-41b8-98a9-e562f004a78e","-"
"Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","WK8N","f26798bc-6c75-4e1e-a4f6-39d09ce32eea","-"
"Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","WK12","bd6ad0f8-7998-45ca-9e7f-4eb633290ca6","-"
"Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","WK12N","a198a08a-0652-4c46-8151-f431a4837a90","-"
"Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","WK16","c8799fb4-d029-4f53-b773-628d80bcf432","-"
"Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","WK16N","3e4c7d62-9491-4966-9978-a9c852c9fa40","-"
"Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","WK20","7d7b02c7-5956-440c-8c5f-370956ee15c8","-"
"Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","WK20N","6814d2de-d410-4422-ac44-597bd8ab7d8a","-"
"Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","WK24","93471916-801b-4534-9b5a-b157552d5feb","-"
"Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","WK26","f264425a-b3ca-4a60-ad5f-d4c437e2dc86","-"
"Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","AE","fab3dc19-ee37-40b2-a933-1fb374741f8f","-"
"Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","ET","c60087ba-7f66-4224-ad07-52654a0cc43e","-"
"5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","VS_5MIN","2c37ccf1-249d-42db-83ca-bcd70f15bdeb",""
"Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","VS_SUPINE","409abdb7-64f3-4bf9-b435-e61ebf266b50",""
"1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","VS_1MIN","94173f0c-367a-44d2-ab45-5be2dafae90e",""
"Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","VS_STAND1","96713bd8-eb1e-43fd-8f7e-aeb45c9bb390",""
"2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","VS_2MIN","46672023-aadc-4a0a-87ba-a89e6a34ecff",""
"Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","VS_STAND3","055f0318-f0ad-4f4b-8996-601655ce7991",""
