"windowUpper","label","id","instanceType","windowLower","valueLabel","name","value","uuid:ID","description","windowLabel"
"","Screening","Timing_1","Timing","","2 weeks","TIM1","P2W","6e9cf4a6-e1ca-433f-ad77-325fed8cd6b1","Screening timing",""
"PT0H","Pre dose","Timing_2","Timing","PT4H","2 days","TIM2","P2D","9d7c064f-8d87-4855-a2b2-dd0d7d7f93c8","Pre dose timing","-4..0 hours"
"","Dosing","Timing_3","Timing","","1 Day","TIM3","P1D","e472d7a0-2db3-42a5-8a66-62ffb197e629","Dosing anchor",""
"P3D","Week 2","Timing_4","Timing","P3D","2 Weeks","TIM4","P2W","54e67b64-b70b-470b-bde1-20b7d630f402","Week 2 timing","-3..3 days"
"P3D","Week 4","Timing_5","Timing","P3D","4 Weeks","TIM5","P4W","496bf8ec-0021-4c1e-ad1c-0150c3122642","Week 4 timing","-3..3 days"
"P3D","Week 6","Timing_6","Timing","P3D","6 Weeks","TIM6","P6W","1d829b96-2a42-4231-838b-a61d93e6db01","Week 6 timing","-3..3 days"
"P3D","Week 8","Timing_7","Timing","P3D","8 Weeks","TIM7","P8W","5a0f52c4-393c-4885-bfbf-4d9fff306009","Week 8 timing","-3..3 days"
"P4D","Week 12","Timing_9","Timing","P4D","12 Weeks","TIM9","P12W","f5baf0b4-baea-49f6-ae1c-ea8d7e14bf88","Week 12 timing","-4..4 days"
"P4D","Week 16","Timing_11","Timing","P4D","16 Weeks","TIM11","P16W","911d27f8-5713-4f80-a3af-e756a433cd39","Week 16 timing","-4..4 days"
"P4D","Week 20","Timing_13","Timing","P4D","20 Weeks","TIM13","P20W","40432264-12c0-4629-bbd2-7a4b55eff3d6","Week 20 timing","-4..4 days"
"P4D","Week 24","Timing_15","Timing","P4D","24 Weeks","TIM15","P24W","6730a4d7-d66b-4763-866e-5994abf4456b","Week 24 timing","-4..4 days"
"P3D","Week 26","Timing_16","Timing","P3D","26 Weeks","TIM16","P26W","0aff1104-b0a5-4209-8ca1-21934421bed5","Week 26 timing","-3..3 days"
"","Week 8 Home","Timing_8","Timing","","2 Weeks","TIM8","P2W","7984a00f-6f7e-49e2-8009-e845634f737b","Week 8 at home timing",""
"","Week 12 Home","Timing_10","Timing","","2 Weeks","TIM10","P2W","804a420a-1bd2-4fb5-b5ba-199edc667550","Week 12 at home timing",""
"","Week 16 Home","Timing_12","Timing","","2 Weeks","TIM12","P2W","20d90c35-f4a6-42dc-b223-898732a0839b","Week 16 at home timing",""
"","Week 20 Home","Timing_14","Timing","","2 Weeks","TIM14","P2W","8d543eb3-0f92-4cc8-accd-605004794d60","Week 20 at home timing",""
"","Adverse Event","Timing_17","Timing","","1 Day","TIM17","P1D","2d46f565-16cd-49af-b32b-de30c26388d5","Adverse Event",""
"","Early Termination","Timing_18","Timing","","1 Day","TIM18","P1D","5dc6936f-3fad-49fa-a94e-fb7d9f821172","Early Termination",""
"","Supine","Timing_19","Timing","","0 mins","TIM19","PT0M","4d43f09a-4bb8-4db4-963d-684ac080bb33","Supine",""
"","VS while supine","Timing_20","Timing","","5 mins","TIM20","PT5M","18db7eb9-6979-4954-af10-26236fc8a58a","VS while supine",""
"","Standing","Timing_21","Timing","","0 min","TIM21","PT0M","fce9e5b1-7feb-4801-aa0c-9bb10a92f2b1","Standing",""
"","VS while standing","Timing_22","Timing","","1 min","TIM22","PT1M","48b4d361-551f-46a9-8575-dbaf2768117a","VS while standing",""
"","Standing","Timing_23","Timing","","0 min","TIM23","PT0M","180268e8-44a2-43cb-b6c1-d68cdb5559a0","Standing",""
"","VS while standing","Timing_24","Timing","","2 min","TIM24","PT2M","c6fbe1ef-9e28-49fe-a4a8-470567e981a0","VS while standing",""
