"purpose","label","id","instanceType","name","uuid:ID","description","text"
"","","Endpoint_1","Endpoint","END1","ca5b335f-133f-4971-acdd-a19340d9e595","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","","Endpoint_2","Endpoint","END2","8731d4db-2b00-445a-bfee-1405065688bf","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","","Endpoint_3","Endpoint","END3","48062642-b0d6-4621-952b-c26b200b04c0","","Adverse events"
"","","Endpoint_4","Endpoint","END4","ad206dda-6d5b-4688-9b40-d0f36c3847ee","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","","Endpoint_5","Endpoint","END5","1a59f199-a855-465f-8422-e179f97a433f","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)"
"","","Endpoint_6","Endpoint","END6","47743f17-2dbd-4c22-83b3-329593a30812","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","","Endpoint_7","Endpoint","END7","c319365b-4c41-43c2-a901-d8de50dd57df","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","","Endpoint_8","Endpoint","END8","a8835ea5-0ac8-42bb-9a73-806d64bc96e1","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","","Endpoint_9","Endpoint","END9","c52d855a-e830-408f-91a3-bd2b928b907a","","*** To be determined from protocol ***"
"","","Endpoint_10","Endpoint","END10","6e17c647-9c7c-49f6-926c-8fc0e09d0c1d","","*** To be determined from protocol ***"
"","","Endpoint_11","Endpoint","END11","667e8ba5-4cc3-4a68-b032-d886527fca11","","*** To be determined from protocol ***"
