"label","id","instanceType","name","uuid:ID","description"
"Screening 1","Encounter_1","Encounter","E1","fcd99fc8-a2d3-478a-9bbd-a6c7d600f264","Screening encounter"
"Screening 2","Encounter_2","Encounter","E2","4d29ecdf-3121-4400-8014-d67c3a64f3e4","Screening encounter - Ambulatory ECG Placement"
"Baseline","Encounter_3","Encounter","E3","15ed658f-8251-4ddb-877a-76c9f62fe8ec","Baseline encounter - Ambulatory ECG Removal"
"Week 2","Encounter_4","Encounter","E4","58d0966d-ac6b-4818-95a8-260a31c1e855","Day 14"
"Week 4","Encounter_5","Encounter","E5","dfe9723d-4c23-49a4-84e7-bd78481a76bf","Day 28"
"Week 6","Encounter_6","Encounter","E7","521a2bbf-5ce0-43ff-9f6b-25d69ed40a59","Day 42"
"Week 8","Encounter_7","Encounter","E8","2df5605a-ff87-4e38-91c1-ed8dc2122586","Day 56"
"Week 12","Encounter_8","Encounter","E9","5132c32c-4c98-4f79-bc57-48207b2a414c","Day 84"
"Week 16","Encounter_9","Encounter","E10","34109641-6238-49f8-a154-8d119c97172b","Day 112"
"Week 20","Encounter_10","Encounter","E11","1a2f1f23-3fe5-4349-bbc7-9f37946d7487","Day 140"
"Week 24","Encounter_11","Encounter","E12","3085159a-6f5b-4608-934a-068f28bc1327","Day 168"
"Week 26","Encounter_12","Encounter","E13","ea4362fd-3524-4837-b8b1-839bd2cd4e16","Day 182"
