"code","codeSystemVersion","id","instanceType","codeSystem","decode","uuid:ID"
"C98388","2023-12-15","Code_1","Code","http://www.cdisc.org","Interventional Study","0f3d3dcb-57c7-4660-b708-1087f34b57a4"
"C15601","2023-12-15","Code_2","Code","http://www.cdisc.org","Phase II Trial","10750c93-2778-4811-9d75-f9d18d732833"
"C132352","2023-12-15","Code_9","Code","http://www.cdisc.org","Sponsor Approval Date","a557da3d-17b0-42ec-83e5-2e94407cdd20"
"C68846","2023-12-15","Code_10","Code","http://www.cdisc.org","Global","56ed839e-cf3d-4bc8-99d7-f49999c9ad39"
"C99904x3","2023-12-15","Code_72","Code","http://www.cdisc.org","IRB/IEC Feedback","1c925ee5-9f1f-4ffa-be30-017a0ad07969"
"C17649","2023-12-15","Code_73","Code","http://www.cdisc.org","Other","e9458d10-808e-4fa3-ac86-6e1f7b6cb25d"
"C41129","2023-12-15","Code_75","Code","http://www.cdisc.org","Region","795626ee-98a9-4999-a093-1c0b2d89e0d0"
"150","2020-08","Code_74","Code","ISO 3166 1 alpha3","Europe","34a47b65-0161-461c-b017-8bb2b7b34ea9"
"PHARMA","12","Code_4","Code","SPONSOR","Eli Lilly","df39ce37-046d-4e57-a673-2f7e3d543818"
"C70793","2023-12-15","Code_76","Code","http://www.cdisc.org","Clinical Study Sponsor","8f59282c-4e31-4363-914e-b44a68bc471e"
"USA","2020-08","Code_77","Code","ISO 3166 1 alpha3","United States of America","717e2ec0-c184-48c3-9ef6-bc3853345c9a"
"C93453","2023-12-15","Code_78","Code","http://www.cdisc.org","Study Registry","23975eab-81f0-48c3-8848-9447c287f44c"
"USA","2020-08","Code_79","Code","ISO 3166 1 alpha3","United States of America","bf85b885-990d-4270-a0bc-4b8c3b0a5472"
"C49656","2023-12-15","Code_137","Code","http://www.cdisc.org","Treatment Study","bb1bad4f-74cc-4d16-802d-4692e4bb5721"
"C49666","2023-12-15","Code_138","Code","http://www.cdisc.org","Efficacy Study","67408359-4922-46c2-b0e8-7264fc0655d2"
