"label","id","instanceType","synonyms","name","uuid:ID","reference"
"Sex","BiomedicalConcept_20","BiomedicalConcept","","Sex","83c225e5-e45e-4b81-b7cd-c98d0d87fe09","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","BiomedicalConcept_21","BiomedicalConcept","['Racial Group']","Race","009cd464-15b5-4b4c-a298-e27a40f776f5","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","BiomedicalConcept_22","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","58db7577-9d61-4e70-8af3-b30aafb04ed1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept_23","BiomedicalConcept","['Weight', 'Body Weight']","Weight","aef5804f-b466-4c89-92cf-d71ea02a5e9e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept_24","BiomedicalConcept","['Height', 'Body Height']","Height","6a6d3035-654f-4e4c-9fdf-f3518a4d9f89","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","633f0813-ea09-4fc3-89a9-bfa0edd2735a","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept_26","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","fc04ff1f-4fb7-4b23-bad2-bebd2b3b91fe","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","319ea41d-c1ed-4092-8f88-5c152556e2c2","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","dd114300-483d-4de0-b4f9-eebd43126f67","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept_29","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","0308982c-f10a-4eee-a398-954b3c27c644","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept_30","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","00a24f9f-0375-450f-a3d7-c89f4c09f568","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept_31","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","47eb94df-3f07-411f-99fa-dacdb022e3b0","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
