"isRequired","label","id","instanceType","name","uuid:ID","datatype","isEnabled"
"True","Sex","BiomedicalConceptProperty_116","BiomedicalConceptProperty","Sex","09a62914-c169-4160-a462-11de1c0c28a4","string","True"
"True","Race","BiomedicalConceptProperty_117","BiomedicalConceptProperty","Race","b32ff620-b618-4908-9de8-4a2309914df3","string","True"
"True","VSTESTCD","BiomedicalConceptProperty_118","BiomedicalConceptProperty","VSTESTCD","61da56a0-4aff-4aa1-a120-bbf8c9d7f421","","True"
"True","VSORRES","BiomedicalConceptProperty_119","BiomedicalConceptProperty","VSORRES","30ca823d-2661-46de-9c0d-ac4c4019a5b0","float","True"
"True","VSORRESU","BiomedicalConceptProperty_120","BiomedicalConceptProperty","VSORRESU","8ddb9b94-347e-4a0e-8150-5e5753ac328c","","True"
"True","VSLOC","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSLOC","b78fc798-e51f-477b-92e2-b6d89cf76df0","","True"
"True","VSTESTCD","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSTESTCD","ebd78c2b-c176-4af4-9153-15622b2eac6b","","True"
"True","VSORRES","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRES","e36cd7c5-7c50-4797-809d-8a2465cae667","float","True"
"True","VSORRESU","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSORRESU","8e24acea-043b-48d9-8b5e-728e072c89f7","","True"
"True","VSTESTCD","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD","77a025dd-3721-4bb0-958a-cfe874ca75fd","","True"
"True","VSORRES","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES","8578a786-6bdf-41a5-b6d0-f484e1f5c452","float","True"
"True","VSORRESU","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU","7eebb791-2b9e-4e47-be0b-5d7f4050304e","","True"
"True","LBTESTCD","BiomedicalConceptProperty_128","BiomedicalConceptProperty","LBTESTCD","dd372060-6b38-4b4f-a842-1d3eb6af88ec","","True"
"True","LBORRES","BiomedicalConceptProperty_129","BiomedicalConceptProperty","LBORRES","49db5a3c-9277-452c-98d2-a9b45ccf5f72","float","True"
"True","LBORRESU","BiomedicalConceptProperty_130","BiomedicalConceptProperty","LBORRESU","9502934b-25f2-481b-b376-c66f8a0cf4e2","","True"
"True","LBSPEC","BiomedicalConceptProperty_131","BiomedicalConceptProperty","LBSPEC","56d04e62-e792-4af5-8541-29d1e81a6b0e","","True"
"True","LBFAST","BiomedicalConceptProperty_132","BiomedicalConceptProperty","LBFAST","cfe129c3-8c0d-495e-8d6d-2ecd354b2db2","","True"
"True","LBTESTCD","BiomedicalConceptProperty_133","BiomedicalConceptProperty","LBTESTCD","a3b53338-6ff1-4fa4-822c-b413d6de5831","","True"
"True","LBORRES","BiomedicalConceptProperty_134","BiomedicalConceptProperty","LBORRES","9cbeb1ab-c3ae-48c8-b782-7e6b1e2ee7a6","text","True"
"True","LBSPEC","BiomedicalConceptProperty_135","BiomedicalConceptProperty","LBSPEC","024d7c7b-1ec5-4cf3-808d-618895495f04","","True"
"True","LBFAST","BiomedicalConceptProperty_136","BiomedicalConceptProperty","LBFAST","4706b7e0-2799-4e50-9771-a0774626bb2f","","True"
"True","LBTESTCD","BiomedicalConceptProperty_137","BiomedicalConceptProperty","LBTESTCD","a8fe3fd8-40fd-4040-a5a5-322a0b68ae2a","","True"
"True","LBORRES","BiomedicalConceptProperty_138","BiomedicalConceptProperty","LBORRES","bb24cff5-8427-4009-acbc-9d1964195c22","float","True"
"True","LBORRESU","BiomedicalConceptProperty_139","BiomedicalConceptProperty","LBORRESU","ce3776a1-b19a-48a3-ba31-eb07e5aecf0f","","True"
"True","LBSPEC","BiomedicalConceptProperty_140","BiomedicalConceptProperty","LBSPEC","7c5574c4-d47b-4f8e-9722-e68b79903a4b","","True"
"True","LBFAST","BiomedicalConceptProperty_141","BiomedicalConceptProperty","LBFAST","0152eea3-124e-4680-bffb-e9ec49b444bc","","True"
"True","LBTESTCD","BiomedicalConceptProperty_142","BiomedicalConceptProperty","LBTESTCD","d6d2580a-6e85-4cda-a55a-8c7c3b30cab4","","True"
"True","LBORRES","BiomedicalConceptProperty_143","BiomedicalConceptProperty","LBORRES","87629954-48a5-4936-a984-5057ba35be12","float","True"
"True","LBORRESU","BiomedicalConceptProperty_144","BiomedicalConceptProperty","LBORRESU","adfee38e-cafd-4c20-a9ee-64813f5980bf","","True"
"True","LBSPEC","BiomedicalConceptProperty_145","BiomedicalConceptProperty","LBSPEC","b555a1a2-71f2-4c11-825b-d9f48714af60","","True"
"True","LBFAST","BiomedicalConceptProperty_146","BiomedicalConceptProperty","LBFAST","b6ba8943-ec35-4e64-8a76-88510de53726","","True"
"True","LBTESTCD","BiomedicalConceptProperty_147","BiomedicalConceptProperty","LBTESTCD","511933b8-7361-4a3b-8f95-09b76725e2fc","","True"
"True","LBORRES","BiomedicalConceptProperty_148","BiomedicalConceptProperty","LBORRES","0153cee2-f542-4d9b-82fe-c83843418b8c","float","True"
"True","LBORRESU","BiomedicalConceptProperty_149","BiomedicalConceptProperty","LBORRESU","386cd352-a852-408f-8659-2510bb0e83f6","","True"
"True","LBSPEC","BiomedicalConceptProperty_150","BiomedicalConceptProperty","LBSPEC","e50bbb85-a9f2-4edf-b625-65d5ee4b70ff","","True"
"True","LBFAST","BiomedicalConceptProperty_151","BiomedicalConceptProperty","LBFAST","1daa3b32-2b83-4c34-ade1-f51a65cea950","","True"
"True","LBTESTCD","BiomedicalConceptProperty_152","BiomedicalConceptProperty","LBTESTCD","0a7e64d6-3121-4bbd-829a-595b833f327e","","True"
"True","LBORRES","BiomedicalConceptProperty_153","BiomedicalConceptProperty","LBORRES","5e2e7b24-db1f-4b28-b180-3d13163ddc8e","float","True"
"True","LBORRESU","BiomedicalConceptProperty_154","BiomedicalConceptProperty","LBORRESU","c09f461a-44ae-4b88-99d2-20856ff35a21","","True"
"True","LBSPEC","BiomedicalConceptProperty_155","BiomedicalConceptProperty","LBSPEC","00e0c266-1521-459c-be27-9758ea0b797e","","True"
