"reference","uuid:ID","id","instanceType","name","synonyms","label"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","6d3a5bdc-8404-4510-9146-7b8c4e36c4ff","BiomedicalConcept_20","BiomedicalConcept","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","01d51cf5-6502-4388-afeb-2e1592f697b4","BiomedicalConcept_21","BiomedicalConcept","Sex","","Sex"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","695d9dbf-e3e3-443d-934f-ad39745444d5","BiomedicalConcept_22","BiomedicalConcept","Race","['Racial Group']","Race"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","8c5386fe-85b5-4ae4-9b7c-3fc27cd385d2","BiomedicalConcept_23","BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","Temperature"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","77d18888-2c57-44d3-bbc1-46ad0ea26c2c","BiomedicalConcept_24","BiomedicalConcept","Weight","['Weight', 'Body Weight']","Weight"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","16656ec9-39f2-43e8-aade-09b8a4f4ea32","BiomedicalConcept_25","BiomedicalConcept","Height","['Height', 'Body Height']","Height"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","bcf998c4-6b63-45ab-a2d2-c6407298a311","BiomedicalConcept_26","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","eeee8c23-a8b7-4b34-86c0-464ed6a39be4","BiomedicalConcept_27","BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","ab9659f1-674f-4512-bb1e-04b88549f069","BiomedicalConcept_28","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","ec1555c6-1fe6-4eae-a618-e70dea57f260","BiomedicalConcept_29","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","a1686374-8381-4822-a2e9-2b9eddc57f86","BiomedicalConcept_30","BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","ec94a609-bb71-4616-a1c5-f5bc0cc96e09","BiomedicalConcept_31","BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","b3c9081a-6594-4860-a0f0-ebf6bb26af7e","BiomedicalConcept_32","BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","d9213d96-7fcd-4fdc-8586-2a799a48d1cb","BiomedicalConcept_33","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","4afde57c-6534-4b7c-967d-8b620c027275","BiomedicalConcept_1","BiomedicalConcept","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","66433479-5a47-48bf-b709-d1494aefe77b","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","41d7add6-39dd-4026-b33e-6fec64ececa7","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","8d7ddc4f-f095-4f95-8d16-365fbff118b8","BiomedicalConcept_4","BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","Temperature"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","6106889c-1195-40fe-8e1f-659f9e1f541c","BiomedicalConcept_5","BiomedicalConcept","Weight","['Weight', 'Body Weight']","Weight"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","5ae718b4-a3f7-4877-b86a-7d9328dd4f8e","BiomedicalConcept_6","BiomedicalConcept","Height","['Height', 'Body Height']","Height"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","fd7f2374-07dc-42c1-bd12-40f75d30ad83","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","e8c9aa61-d1b7-404a-9380-02c6b0207e71","BiomedicalConcept_8","BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","bc959026-6cf7-474f-9c18-cbb469f621a2","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","db5dfcd2-009e-4aea-9a54-03af299410a7","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","e3f4ca7b-9347-4dfa-aa07-a80d604bbbb6","BiomedicalConcept_11","BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","3a686ebd-3e11-425d-a274-30ff5d88b9fa","BiomedicalConcept_12","BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","a018a925-d777-4a29-9fed-9859110819a9","BiomedicalConcept_13","BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","97ee076e-f365-4b74-a9f2-ac4b8b8ad0d9","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","5a2e2d0b-91b6-42e9-9c7c-df34df3f2a83","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","e87b6212-1a99-4f74-bbdc-374294678988","BiomedicalConcept_16","BiomedicalConcept","Heart Rate","['Heart Rate']","Heart Rate"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","05b07cbe-041f-475c-982e-684040271b7b","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","754c0598-609a-45a3-bc50-d993dbe046b5","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","1f0ed941-5cca-40d9-a0f4-80a5f8af27c2","BiomedicalConcept_19","BiomedicalConcept","Heart Rate","['Heart Rate']","Heart Rate"
