"uuid:ID","windowUpper","id","value","windowLabel","instanceType","valueLabel","description","windowLower","name","label"
"a15e41ee-b25a-44b4-93d0-8eb97facc2b2","","Timing_1","P2W","","Timing","2 weeks","Screening timing","","TIM1","Screening"
"c4075e78-243b-4841-9b98-2d622b5f3c38","PT0H","Timing_2","P2D","-4..0 hours","Timing","2 days","Pre dose timing","PT4H","TIM2","Pre dose"
"8ca989be-3f70-426c-ab0b-14e593323934","","Timing_3","P1D","","Timing","1 Day","Dosing anchor","","TIM3","Dosing"
"efe1ecdf-03dc-43af-a8c9-c8647a79f056","P3D","Timing_4","P2W","-3..3 days","Timing","2 Weeks","Week 2 timing","P3D","TIM4","Week 2"
"45b36540-4461-4969-9634-98a0ea82ac7b","P3D","Timing_5","P4W","-3..3 days","Timing","4 Weeks","Week 4 timing","P3D","TIM5","Week 4"
"c66fe553-c671-49dd-bd68-83b3c2275fd2","P3D","Timing_6","P6W","-3..3 days","Timing","6 Weeks","Week 6 timing","P3D","TIM6","Week 6"
"7cfd7684-4e12-4d1f-8f82-0c84f504b0d2","P3D","Timing_7","P8W","-3..3 days","Timing","8 Weeks","Week 8 timing","P3D","TIM7","Week 8"
"338c3ea8-0a8b-4783-86f8-752bb5fbe0ff","P4D","Timing_9","P12W","-4..4 days","Timing","12 Weeks","Week 12 timing","P4D","TIM9","Week 12"
"e09ae118-a22a-4b08-bd49-36d2ebf10105","P4D","Timing_11","P16W","-4..4 days","Timing","16 Weeks","Week 16 timing","P4D","TIM11","Week 16"
"ad21ce7d-8eff-4d16-81eb-94e014e0d311","P4D","Timing_13","P20W","-4..4 days","Timing","20 Weeks","Week 20 timing","P4D","TIM13","Week 20"
"331d4be0-d2a9-4da6-be48-3309554f6018","P4D","Timing_15","P24W","-4..4 days","Timing","24 Weeks","Week 24 timing","P4D","TIM15","Week 24"
"4ea59031-5e0d-4b5b-9bf0-42076fccc7d6","P3D","Timing_16","P26W","-3..3 days","Timing","26 Weeks","Week 26 timing","P3D","TIM16","Week 26"
"731fab26-34cd-4d0c-ab24-ecfa9db2bc21","","Timing_8","P2W","","Timing","2 Weeks","Week 8 at home timing","","TIM8","Week 8 Home"
"33b22c5d-fa88-49eb-8a82-ee00bd986abc","","Timing_10","P2W","","Timing","2 Weeks","Week 12 at home timing","","TIM10","Week 12 Home"
"afb3300b-2ac1-486e-99a8-f0ada84ef6e0","","Timing_12","P2W","","Timing","2 Weeks","Week 16 at home timing","","TIM12","Week 16 Home"
"c932da0f-874c-4791-9b5f-d3a6b0f2091b","","Timing_14","P2W","","Timing","2 Weeks","Week 20 at home timing","","TIM14","Week 20 Home"
"157bea95-99bb-4ac7-9785-2170af502b89","","Timing_17","P1D","","Timing","1 Day","Adverse Event","","TIM17","Adverse Event"
"6a5f7abf-a496-42a2-94e5-775d05c7c854","","Timing_18","P1D","","Timing","1 Day","Early Termination","","TIM18","Early Termination"
"d734288e-b7ec-4c0e-a458-07d821e897fd","","Timing_19","PT0M","","Timing","0 mins","Supine","","TIM19","Supine"
"13492865-5194-4a89-8229-efd0c21ea823","","Timing_20","PT5M","","Timing","5 mins","VS while supine","","TIM20","VS while supine"
"e04168a7-5360-447a-8308-47c72249cd8b","","Timing_21","PT0M","","Timing","0 min","Standing","","TIM21","Standing"
"b83ce0d1-19b3-40d0-8ac1-f6676c4b65e3","","Timing_22","PT1M","","Timing","1 min","VS while standing","","TIM22","VS while standing"
"b7ab7888-40d8-40fb-9638-d0c0c7df8a4c","","Timing_23","PT0M","","Timing","0 min","Standing","","TIM23","Standing"
"55a475e4-bebf-4ce8-b385-931173dfa590","","Timing_24","PT2M","","Timing","2 min","VS while standing","","TIM24","VS while standing"
