"uuid:ID","id","instanceType","description","name","label"
"0e3ef741-9f77-4a51-99a4-0531e3d19d03","Activity_1","Activity","","Informed consent","Informed consent"
"993f8db6-fdbf-4e4e-8bb4-5b318bc00cd2","Activity_2","Activity","","Inclusion/exclusion criteria","Inclusion and exclusion criteria"
"01d06492-18d2-42d3-86f4-9a140aa12103","Activity_3","Activity","","Patient number assigned","Patient number assigned"
"e54575b4-4906-4c78-9dd8-3c85e7c50ddc","Activity_4","Activity","","Demographics","Demographics"
"07433fb3-b272-40ce-9541-549e568d0670","Activity_5","Activity","","Hachinski","Hachinski Ischemic Scale"
"ed923942-eac1-49fa-86fe-167645ca995b","Activity_6","Activity","","MMSE","MMSE"
"df37bf0c-4d4f-470e-b186-6a91632c6f10","Activity_7","Activity","","Physical examination","Physical examination"
"a8b5866d-992c-4779-94a2-46929432b8b3","Activity_8","Activity","","Medical history","Medical history"
"aca96f3c-61b0-4b38-8f6b-03bb9214e343","Activity_9","Activity","","Habits","Habits"
"ddbc608f-e6a9-44a5-908b-aba7e087661a","Activity_10","Activity","","Chest X-ray","Chest X-ray"
"32e202f8-9247-441e-9969-ae40c4d282bf","Activity_11","Activity","","Apo E genotyping","Apo E genotyping"
"c53849f8-8a36-447a-90e6-e9df48eb503f","Activity_12","Activity","","Patient randomised","Patient randomised"
"3ac11340-8da6-4d91-8092-009200fc4184","Activity_13","Activity","","Vital signs / Temperature","Vital Signs and Temperature"
"e361f764-117b-4124-9598-2f6c6fd0c76f","Activity_14","Activity","","Ambulatory ECG placed","Ambulatory ECG placed"
"7d03a79e-24e2-42d5-9833-08a6a2a14569","Activity_15","Activity","","Ambulatory ECG removed","Ambulatory ECG removed"
"48dcda41-8311-4828-87fc-8e504da27ae5","Activity_16","Activity","","ECG","ECG"
"3af81361-0ef0-4694-91c6-3351ae4d4ba1","Activity_17","Activity","","Placebo TTS test","Placebo TTS test"
"87c402cb-ad29-4031-bab9-9415d78d4291","Activity_18","Activity","","CT scan","CT scan"
"328363c9-29f3-4fbb-8512-861170b32729","Activity_19","Activity","","Concomitant medications","Concomitant medications"
"942b2688-ab30-40b1-ae29-33055dcf1f21","Activity_20","Activity","","Hematology","Hematology"
"1a37b0b2-c057-4f99-8557-16db03cf6d99","Activity_21","Activity","","Chemistry","Chemistry"
"c08e22c2-3c87-41a5-b849-e3c9dee3fdc0","Activity_22","Activity","","Uninalysis","Uninalysis"
"b0b0bcc0-da2d-48eb-9fe4-56c4e538d42e","Activity_23","Activity","","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)"
"05fdd2e4-8245-4748-b6e6-2e0e38e65bb6","Activity_24","Activity","","Hemoglobin A1C","Hemoglobin A1C"
"d4ae1827-4e5e-4e58-b76f-99da8c7d809d","Activity_25","Activity","","Study drug","Study drug record , Medications dispensed, Medications returned"
"2794efe1-0f49-4bb7-81c2-2c94bb15e2e4","Activity_26","Activity","","TTS Acceptability Survey","TTS Acceptability Survey"
"c1301924-bf79-4f54-870b-0db8d54ffdff","Activity_27","Activity","","ADAS-Cog","ADAS-Cog"
"4141bc20-1325-4b29-b72b-efb599ca16ac","Activity_28","Activity","","CIBIC+","CIBIC+"
"f44b151a-4824-44f3-a828-9c485380bda4","Activity_29","Activity","","DAD","DAD"
"919c8a2a-c9f1-4465-9869-7aaaaa735190","Activity_30","Activity","","NPI-X","NPI-X"
"e2956731-d543-494a-b20a-c03084189767","Activity_31","Activity","","Adverse events","Adverse events"
"4cbe01fd-25c0-40b0-b92e-a9c471036f2a","Activity_32","Activity","","Check adverse events","Check adverse events"
"a2f3bd17-134d-4208-9324-c2c73d409486","Activity_33","Activity","","Supine","Subject supine"
"fd527c75-3b91-48f8-9869-e5adf94aa154","Activity_34","Activity","","Vital Signs Supine","Vital signs while supine"
"1f88b144-39dd-4789-9b01-bf02afc17698","Activity_35","Activity","","Stand","Subject Standing"
"1b899c94-5c4c-4b70-9750-2e27c2f0e1ab","Activity_36","Activity","","Vital Signs Standing","Vital signs while standing"
