"uuid:ID","id","instanceType","description","name","label"
"468766d2-975e-465f-a975-3ebc81127266","ScheduledActivityInstance_9","ScheduledActivityInstance","-","SCREEN1","Screen One"
"c630bae4-7b91-436f-8ca8-497b4767a269","ScheduledActivityInstance_10","ScheduledActivityInstance","-","SCREEN2","Screen Two"
"d4924a36-920a-4e62-bd8a-4bf169473536","ScheduledActivityInstance_11","ScheduledActivityInstance","-","DOSE","Dose"
"5b0a36ff-3be0-49fb-a3a6-633b3e8464dd","ScheduledActivityInstance_12","ScheduledActivityInstance","-","WK2","Week 2"
"8730bc80-b2e6-4b67-ac3d-bd2f3b74df5c","ScheduledActivityInstance_13","ScheduledActivityInstance","-","WK4","Week 4"
"a078bdbf-7a70-43d0-8787-c7d9497f6ea3","ScheduledActivityInstance_14","ScheduledActivityInstance","-","WK6","Week 6"
"78993986-c193-4fed-b131-d95d2c014a07","ScheduledActivityInstance_15","ScheduledActivityInstance","-","WK8","Week 8"
"a7d498f7-c33d-41f7-bf7d-158d16a9231a","ScheduledActivityInstance_16","ScheduledActivityInstance","-","WK8N","Week NPI"
"d3da4a35-9e10-4fe8-be08-1bacc08341a1","ScheduledActivityInstance_17","ScheduledActivityInstance","-","WK12","Week 12"
"f97089fc-d88d-4567-8482-e07cdefb6d9c","ScheduledActivityInstance_18","ScheduledActivityInstance","-","WK12N","Week 12 NPI"
"1c97248a-a846-41e2-919a-0cfbc6097bc6","ScheduledActivityInstance_19","ScheduledActivityInstance","-","WK16","Week 16"
"ae976ce9-3353-4e7b-83fa-d50e1b88f09c","ScheduledActivityInstance_20","ScheduledActivityInstance","-","WK16N","Week 16 NPI"
"46d63fed-d089-4f0c-b72d-c04816166d2c","ScheduledActivityInstance_21","ScheduledActivityInstance","-","WK20","Week 20"
"d2014bb1-e4f2-44a3-9c2f-c274b9f8918b","ScheduledActivityInstance_22","ScheduledActivityInstance","-","WK20N","Week 20 NPI"
"b44e8c51-e734-4784-833d-3177e0fd2530","ScheduledActivityInstance_23","ScheduledActivityInstance","-","WK24","Week 24"
"a4318fb7-d461-455e-90d9-205c6cec2c07","ScheduledActivityInstance_24","ScheduledActivityInstance","-","WK26","Week 26"
"591fabd4-0c05-45d6-9dca-ba259bcff779","ScheduledActivityInstance_1","ScheduledActivityInstance","-","AE","Adevers Event"
"7600d88f-5c8b-4755-b20d-0859b7bc86a2","ScheduledActivityInstance_2","ScheduledActivityInstance","-","ET","Early Termination"
"77c6ef73-1fea-476f-99f3-9b03e3509669","ScheduledActivityInstance_3","ScheduledActivityInstance","","VS_5MIN","5 minute supine"
"e74eda4e-7a9d-4289-a423-6b5d2696eac4","ScheduledActivityInstance_4","ScheduledActivityInstance","","VS_SUPINE","Vital signs supine"
"264aa364-79df-4592-a4e8-d9435bfa61a9","ScheduledActivityInstance_5","ScheduledActivityInstance","","VS_1MIN","1 minute standing"
"8b42c5d3-0ba1-4b47-9395-8e551960aa50","ScheduledActivityInstance_6","ScheduledActivityInstance","","VS_STAND1","Vital signs after 1 min standing"
"df012a59-0d63-4cd5-a19b-71bda7f0673c","ScheduledActivityInstance_7","ScheduledActivityInstance","","VS_2MIN","2 minute standing"
"bbb71f2a-62cd-4cba-8f19-596e1b3c4766","ScheduledActivityInstance_8","ScheduledActivityInstance","","VS_STAND3","Vital signs after 3 min standing"
