"uuid:ID","id","instanceType","purpose","description","name","text","label"
"d0acca48-fec6-451a-acf1-0891395dc083","Endpoint_1","Endpoint","","","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"addd43ba-bbc2-42df-9dee-07a2aea94adf","Endpoint_2","Endpoint","","","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"20a37af9-e2f7-40c1-87eb-26ea040db6d7","Endpoint_3","Endpoint","","","END3","Adverse events",""
"c6a90dc6-b7eb-4cf5-9833-ecc8994f9440","Endpoint_4","Endpoint","","","END4","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"eead3741-e512-4830-b23b-a058c21a27a6","Endpoint_5","Endpoint","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5","Laboratory evaluations (Change from Baseline)",""
"f88922bb-da84-4262-a6fc-107072cb9cf3","Endpoint_6","Endpoint","","","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"79d3762f-9283-4fbf-b9d0-fc40b42b9ced","Endpoint_7","Endpoint","","","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"c62300b6-f2bd-4d7f-8db5-9051582e87ea","Endpoint_8","Endpoint","","","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"639d926b-ecd6-4cba-b7a7-33923446b6c2","Endpoint_9","Endpoint","","","END9","*** To be determined from protocol ***",""
"5bea6308-3d93-435a-8fe3-e50b0a2e850a","Endpoint_10","Endpoint","","","END10","*** To be determined from protocol ***",""
"f735f7bc-8b25-4520-8fcc-3d1df006a277","Endpoint_11","Endpoint","","","END11","*** To be determined from protocol ***",""
