"uuid:ID","id","instanceType","description","name","label"
"2a5047f4-4469-4047-802b-61361ef9bcb2","Encounter_1","Encounter","Screening encounter","E1","Screening 1"
"021ba7a0-ef37-4bb3-81e5-5d51f5991a1c","Encounter_2","Encounter","Screening encounter - Ambulatory ECG Placement","E2","Screening 2"
"70b79e69-5ab7-4aba-9615-1243186398ab","Encounter_3","Encounter","Baseline encounter - Ambulatory ECG Removal","E3","Baseline"
"0f9c8f39-e2d2-455a-b215-5a3b1e8660e5","Encounter_4","Encounter","Day 14","E4","Week 2"
"b6c1b26b-9462-4615-9e51-2b48ed622b4b","Encounter_5","Encounter","Day 28","E5","Week 4"
"3337d46d-7616-4ffa-bd83-24a9146f66fc","Encounter_6","Encounter","Day 42","E7","Week 6"
"29472d86-c1de-4aac-830a-1f62c57da6b6","Encounter_7","Encounter","Day 56","E8","Week 8"
"ae79225e-6f0c-48b7-9d95-481bd02e4f81","Encounter_8","Encounter","Day 84","E9","Week 12"
"cc167f4c-d559-4c3d-a631-715085a5f937","Encounter_9","Encounter","Day 112","E10","Week 16"
"b3cefe3e-c8cd-427d-8c7b-9c7d2f00f2fb","Encounter_10","Encounter","Day 140","E11","Week 20"
"55421c77-98d9-4302-b330-3237d876e7e9","Encounter_11","Encounter","Day 168","E12","Week 24"
"1343b703-be63-4af3-99d5-7f86dda18a7a","Encounter_12","Encounter","Day 182","E13","Week 26"
