"code","uuid:ID","id","codeSystem","decode","instanceType","codeSystemVersion"
"C98388","af171c5f-1929-40ba-867a-3213228335d1","Code_1","http://www.cdisc.org","Interventional Study","Code","2023-12-15"
"C15601","80deba51-ee84-4ad2-a4db-55d11805191a","Code_2","http://www.cdisc.org","Phase II Trial","Code","2023-12-15"
"C132352","9e672806-d470-4bcf-9391-54551db8143f","Code_9","http://www.cdisc.org","Sponsor Approval Date","Code","2023-12-15"
"C68846","0bfee77b-42bb-4c3f-b4e5-69cabbb097b2","Code_10","http://www.cdisc.org","Global","Code","2023-12-15"
"C99904x3","251f8a54-30e5-41e4-9015-65a72ae98eb6","Code_72","http://www.cdisc.org","IRB/IEC Feedback","Code","2023-12-15"
"C17649","1ef2ccd8-95b3-48ce-b08a-c4b9c534797a","Code_73","http://www.cdisc.org","Other","Code","2023-12-15"
"C41129","cfcb4484-2574-4689-ba6b-208c9d377b12","Code_75","http://www.cdisc.org","Region","Code","2023-12-15"
"150","027ec4ae-b9f6-4f34-b91e-a97bb2e5efe3","Code_74","ISO 3166 1 alpha3","Europe","Code","2020-08"
"PHARMA","582c9e24-2e08-472a-bfb8-26668c042a30","Code_4","SPONSOR","Eli Lilly","Code","12"
"C70793","5617d332-7f6a-42b0-bd80-5afe03a50d62","Code_76","http://www.cdisc.org","Clinical Study Sponsor","Code","2023-12-15"
"USA","805d2ecd-ffbf-4dbd-96bc-64c62ce543c3","Code_77","ISO 3166 1 alpha3","United States of America","Code","2020-08"
"C93453","eba0174a-4918-444c-801a-0207c41995f5","Code_78","http://www.cdisc.org","Study Registry","Code","2023-12-15"
"USA","c12fa946-1fd2-452b-9e77-f2c7ff49e086","Code_79","ISO 3166 1 alpha3","United States of America","Code","2020-08"
"C49656","a77ca52e-66dc-4456-a36a-d64096776499","Code_137","http://www.cdisc.org","Treatment Study","Code","2023-12-15"
"C49666","74a339e7-0e2e-43fd-8e62-5755c80f287c","Code_138","http://www.cdisc.org","Efficacy Study","Code","2023-12-15"
"C49667","69e52337-c1cc-44d3-aae8-30ac2a3bbe9c","Code_139","http://www.cdisc.org","Safety Study","Code","2023-12-15"
"C49663","5117008b-403d-4fd8-8650-24710b443325","Code_140","http://www.cdisc.org","Pharmacokinetic Study","Code","2023-12-15"
"MILD_MOD_ALZ","ebeb23fa-3243-4224-919e-643b8c867b19","Code_134","SPONSOR","Mild to Moderate Alzheimer's Disease","Code","12"
"26929004","3c1852d7-24d2-4ce8-a593-a2431c3f195f","Code_135","SNOMED","Alzheimer's disease","Code","January 31, 2018"
"C99907x1","142bd040-861d-4837-b9a1-3973fb1f4d8d","Code_143","http://www.cdisc.org","EXTENSION","Code","2023-12-15"
"C98704","bcd6ff46-1c8f-477a-9b90-4eee2c0a0b9d","Code_144","http://www.cdisc.org","ADAPTIVE","Code","2023-12-15"
"C82639","d6e57639-e7a3-4d79-8566-0e2082476b6b","Code_141","http://www.cdisc.org","Parallel Study","Code","2023-12-15"
"C25716","acdc6dbf-149c-4722-b7f6-4eff959b7e82","Code_83","http://www.cdisc.org","Visit","Code","2023-12-15"
"C51282","7cfd4b91-2219-4c5f-a6fa-520a78c4872a","Code_84","http://www.cdisc.org","Clinic","Code","2023-12-15"
"C175574","64f62636-7675-4b5b-8d6c-9437c86cfaf2","Code_85","http://www.cdisc.org","In Person","Code","2023-12-15"
"C25716","7e45be93-d17a-466d-8c6e-065c4b02ffaf","Code_86","http://www.cdisc.org","Visit","Code","2023-12-15"
"C51282","ecd0895e-6175-4c74-a3d6-56da390710e8","Code_87","http://www.cdisc.org","Clinic","Code","2023-12-15"
"C175574","4cd4c566-b960-4344-bdfb-d880bd01dc73","Code_88","http://www.cdisc.org","In Person","Code","2023-12-15"
"C25716","769c321e-eb48-49e7-ab79-053780050e21","Code_89","http://www.cdisc.org","Visit","Code","2023-12-15"
"C51282","06e84018-5b5c-47c9-b89d-a34b3d484c88","Code_90","http://www.cdisc.org","Clinic","Code","2023-12-15"
"C175574","a5b6e8f2-3791-432b-9d8f-f3b735ea4bf7","Code_91","http://www.cdisc.org","In Person","Code","2023-12-15"
"C25716","798710ff-2227-489e-b9e3-5404353c6e06","Code_92","http://www.cdisc.org","Visit","Code","2023-12-15"
"C51282","d36676b3-6733-478e-83a4-8adbf6dfafb3","Code_93","http://www.cdisc.org","Clinic","Code","2023-12-15"
"C175574","c2ab425f-bc5d-40a6-bf26-a42e467e9e3e","Code_94","http://www.cdisc.org","In Person","Code","2023-12-15"
"C25716","5d59f750-2038-46db-82ec-3a9f64f1b7ab","Code_95","http://www.cdisc.org","Visit","Code","2023-12-15"
"C51282","99bd3f18-da1b-4014-b7c6-f1cc8c7e94b9","Code_96","http://www.cdisc.org","Clinic","Code","2023-12-15"
"C175574","62327abc-06f6-4322-80c5-1a8882f7c597","Code_97","http://www.cdisc.org","In Person","Code","2023-12-15"
