"uuid:ID","id","instanceType","name","text"
"bc23f2fa-1e85-4da4-9ce4-1f4b0da22e50","TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier"
"85033b00-7f94-4448-b6e5-849ae8b6b45f","TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities"
"de7d7cc8-7792-44ed-b393-fb0edee83d2a","TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"c03481b7-613f-45e3-bba2-d97471a8ee06","TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"21c5732b-3f18-4c91-ade6-66f317112fe5","TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3","Radomized"
"a9f6db0b-2c3e-47ce-b4e3-70ae5f09a267","TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment"
"f5595853-fcee-409b-ae46-f7669c7d2df4","TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1","Informed consent"
"d6a2410e-f44a-4a6c-af12-a08276a68ebc","TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"a3146615-d4c8-4537-956e-23035b538db6","TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose"
"d2e90b56-20cf-42fc-bed9-436bf540be86","TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"04054201-72fe-4f1f-9e4b-392006b2baf6","TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ddb8caff-81c8-4720-ad0a-8562e4974ab2","TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose"
"1d027e16-53c7-4550-8adf-4117e4a3b74b","TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4","Randomized"
"03a7ae59-0923-4233-80b8-f35e8f73cb89","TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"65c4fad0-fd1f-4cbd-bffc-dcba2be4bac9","TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
