"label","name","id","text","instanceType","purpose","description","uuid:ID"
"","END1","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","","","3adc8164-22b2-4abd-af39-cc7b10b45c6c"
"","END2","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","","","79040533-38a0-4da5-aa47-de2a5b6ffe0e"
"","END3","Endpoint_3","Adverse events","Endpoint","","","862d3551-2315-400c-ad0a-0bda14f2dcd1"
"","END4","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","","","98b2239b-fcb1-47f9-b59e-765d53456e3b"
"","END5","Endpoint_5","Laboratory evaluations (Change from Baseline)","Endpoint","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","34c842d1-2e1b-4e00-94c2-f90c7b695ca8"
"","END6","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","","","1ef0973d-b996-4881-b63a-4d375d9f60c3"
"","END7","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","","","72f89e33-b228-40db-9571-a19627c99c54"
"","END8","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","","","0eb80abd-ad6f-48f7-8aa0-d01cecb916ea"
"","END9","Endpoint_9","*** To be determined from protocol ***","Endpoint","","","40a113c2-08f9-41df-ae9f-22ef4b7ac6e7"
"","END10","Endpoint_10","*** To be determined from protocol ***","Endpoint","","","b927a361-57fb-4dec-bf0f-e99e4f6c803d"
"","END11","Endpoint_11","*** To be determined from protocol ***","Endpoint","","","7c47c5f1-ae95-47ec-8be3-aebb7a4b7084"
