"label","name","id","instanceType","description","uuid:ID"
"Screen One","SCREEN1","ScheduledActivityInstance_9","ScheduledActivityInstance","-","4e8a7f5e-05ad-4ba1-a882-02fa20d07c15"
"Screen Two","SCREEN2","ScheduledActivityInstance_10","ScheduledActivityInstance","-","3fb38ef2-fd01-40f1-9f14-927146f3ff80"
"Dose","DOSE","ScheduledActivityInstance_11","ScheduledActivityInstance","-","c67fb6ec-4b1e-4529-a710-8b177c2b8ece"
"Week 2","WK2","ScheduledActivityInstance_12","ScheduledActivityInstance","-","505cf72c-9ac5-43c9-873c-8d83aec8eff0"
"Week 4","WK4","ScheduledActivityInstance_13","ScheduledActivityInstance","-","f814ec9f-6f47-405a-803f-50bd867fe64d"
"Week 6","WK6","ScheduledActivityInstance_14","ScheduledActivityInstance","-","107f8f9b-edbe-4b4d-9839-8df8f98e0401"
"Week 8","WK8","ScheduledActivityInstance_15","ScheduledActivityInstance","-","b3dd85a0-037d-4da6-a174-1bfb0ccc9959"
"Week NPI","WK8N","ScheduledActivityInstance_16","ScheduledActivityInstance","-","7075d3fa-45fe-4f98-89f4-a04f2e4bfa9b"
"Week 12","WK12","ScheduledActivityInstance_17","ScheduledActivityInstance","-","bcf9eb6d-8733-4c8c-b94e-3aa3b89bbcd3"
"Week 12 NPI","WK12N","ScheduledActivityInstance_18","ScheduledActivityInstance","-","14a41198-d249-4815-a315-355e267c613e"
"Week 16","WK16","ScheduledActivityInstance_19","ScheduledActivityInstance","-","9656a25e-7faa-4bfb-a601-d4dee462dce2"
"Week 16 NPI","WK16N","ScheduledActivityInstance_20","ScheduledActivityInstance","-","04deb566-b88e-4b22-971f-4e9b5cd3faf5"
"Week 20","WK20","ScheduledActivityInstance_21","ScheduledActivityInstance","-","cbe523e4-c5fd-42bd-ae91-e0f2684b11f7"
"Week 20 NPI","WK20N","ScheduledActivityInstance_22","ScheduledActivityInstance","-","17b37f47-d4cf-4a6d-92b5-e53d60381371"
"Week 24","WK24","ScheduledActivityInstance_23","ScheduledActivityInstance","-","535a1e42-f7d0-473f-9745-b1c788973ecd"
"Week 26","WK26","ScheduledActivityInstance_24","ScheduledActivityInstance","-","473eac4a-bc15-4448-a780-a904c1633e1e"
"Adevers Event","AE","ScheduledActivityInstance_1","ScheduledActivityInstance","-","45878736-0ae1-4e3b-81bf-89382bd42694"
"Early Termination","ET","ScheduledActivityInstance_2","ScheduledActivityInstance","-","8cc0d25e-120b-4270-8192-6ef5a8df055f"
"5 minute supine","VS_5MIN","ScheduledActivityInstance_3","ScheduledActivityInstance","","bb8e87c2-c892-4b52-b3bd-835d5cba092f"
"Vital signs supine","VS_SUPINE","ScheduledActivityInstance_4","ScheduledActivityInstance","","37ba42fb-7f9c-47c3-bdb5-44f0b3649351"
"1 minute standing","VS_1MIN","ScheduledActivityInstance_5","ScheduledActivityInstance","","8ec1d4ba-e549-49ae-801a-dcee5b365ed0"
"Vital signs after 1 min standing","VS_STAND1","ScheduledActivityInstance_6","ScheduledActivityInstance","","a1562e25-eb70-4e73-9bfe-8a6476d1a47f"
"2 minute standing","VS_2MIN","ScheduledActivityInstance_7","ScheduledActivityInstance","","ec17925d-1b26-4ed1-b9d1-ba2f9bd8b233"
"Vital signs after 3 min standing","VS_STAND3","ScheduledActivityInstance_8","ScheduledActivityInstance","","1ade6db3-fb82-4ac2-8f55-f2716317be63"
